series,pub_lag,last_obs_month,n_obs_q,n_filled_q,n_missing_q,status
srv0057,0,2025-12,3,0,0,observed
srv0058,0,2025-12,3,0,0,observed
srv0059,0,2025-12,3,0,0,observed
srv0060,0,2025-12,3,0,0,observed
srv0061,0,2025-12,3,0,0,observed
srv0062,0,2025-12,3,0,0,observed
srv0063,0,2025-12,3,0,0,observed
srv0064,0,2025-12,3,0,0,observed
srv0065,0,2025-12,3,0,0,observed
srv0066,0,2025-12,3,0,0,observed
srv0067,0,2025-12,3,0,0,observed
srv0068,0,2025-12,3,0,0,observed
srv0069,0,2025-12,3,0,0,observed
srv0070,0,2025-12,3,0,0,observed
srv0071,0,2025-12,3,0,0,observed
srv0072,0,2025-12,3,0,0,observed
srv0073,0,2025-12,3,0,0,observed
srv0074,0,2025-12,3,0,0,observed
srv0075,0,2025-12,3,0,0,observed
srv0076,0,2025-12,3,0,0,observed
srv0077,0,2025-12,3,0,0,observed
srv0078,0,2025-12,3,0,0,observed
srv0079,0,2025-12,3,0,0,observed
srv0080,0,2025-12,3,0,0,observed
srv0081,0,2025-12,3,0,0,observed
srv0082,0,2025-12,3,0,0,observed
srv0083,0,2025-12,3,0,0,observed
srv0084,0,2025-12,3,0,0,observed
srv0085,0,2025-12,3,0,0,observed
srv0086,0,2025-12,3,0,0,observed
srv0087,0,2025-12,3,0,0,observed
srv0088,0,2025-12,3,0,0,observed
srv0089,0,2025-12,3,0,0,observed
srv0090,0,2025-12,3,0,0,observed
srv0091,0,2025-12,3,0,0,observed
srv0092,0,2025-12,3,0,0,observed
srv0093,0,2025-12,3,0,0,observed
srv0094,0,2025-12,3,0,0,observed
srv0095,0,2025-12,3,0,0,observed
srv0096,0,2025-12,3,0,0,observed
srv0097,0,2025-12,3,0,0,observed
srv0098,0,2025-12,3,0,0,observed
srv0099,0,2025-12,3,0,0,observed
srv0100,0,2025-12,3,0,0,observed
srv0101,0,2025-12,3,0,0,observed
srv0102,0,2025-12,3,0,0,observed
srv0103,0,2025-12,3,0,0,observed
srv0104,0,2025-12,3,0,0,observed
srv0105,0,2025-12,3,0,0,observed
srv0106,0,2025-12,3,0,0,observed
srv0107,0,2025-12,3,0,0,observed
srv0108,0,2025-12,3,0,0,observed
srv0109,0,2025-12,3,0,0,observed
srv0110,0,2025-12,3,0,0,observed
srv0111,0,2025-12,3,0,0,observed
srv0112,0,2025-12,3,0,0,observed
srv0113,0,2025-12,3,0,0,observed
srv0114,0,2025-12,3,0,0,observed
srv0115,0,2025-12,3,0,0,observed
srv0116,0,2025-12,3,0,0,observed
srv0117,0,2025-12,3,0,0,observed
srv0118,0,2025-12,3,0,0,observed
srv0119,0,2025-12,3,0,0,observed
srv0120,0,2025-12,3,0,0,observed
srv0121,0,2025-12,3,0,0,observed
srv0122,0,2025-12,3,0,0,observed
srv0123,0,2025-12,3,0,0,observed
srv0124,0,2025-12,3,0,0,observed
srv0125,0,2025-12,3,0,0,observed
srv0126,0,2025-12,3,0,0,observed
srv0127,0,2025-12,3,0,0,observed
srv0128,0,2025-12,3,0,0,observed
srv0129,0,2025-12,3,0,0,observed
srv0130,0,2025-12,3,0,0,observed
srv0131,0,2025-12,3,0,0,observed
srv0132,0,2025-12,3,0,0,observed
srv0133,0,2025-12,3,0,0,observed
srv0134,0,2025-12,3,0,0,observed
srv0135,0,2025-12,3,0,0,observed
srv0136,0,2025-12,3,0,0,observed
srv0137,0,2025-12,3,0,0,observed
srv0138,0,2025-12,3,0,0,observed
srv0139,0,2025-12,3,0,0,observed
srv0140,0,2025-12,3,0,0,observed
srv0141,0,2025-12,3,0,0,observed
srv0142,0,2025-12,3,0,0,observed
srv0143,0,2025-12,3,0,0,observed
srv0144,0,2025-12,3,0,0,observed
srv0145,0,2025-12,3,0,0,observed
srv0146,0,2025-12,3,0,0,observed
srv0147,0,2025-12,3,0,0,observed
srv0148,0,2025-12,3,0,0,observed
srv0149,0,2025-12,3,0,0,observed
srv0150,0,2025-12,3,0,0,observed
srv0151,0,2025-12,3,0,0,observed
srv0152,0,2025-12,3,0,0,observed
srv0153,0,2025-12,3,0,0,observed
srv0154,0,2025-12,3,0,0,observed
srv0155,0,2025-12,3,0,0,observed
srv0156,0,2025-12,3,0,0,observed
srv0157,0,2025-12,3,0,0,observed
srv0158,0,2025-12,3,0,0,observed
srv0159,0,2025-12,3,0,0,observed
srv0160,0,2025-12,3,0,0,observed
srv0161,0,2025-12,3,0,0,observed
srv0162,0,2025-12,3,0,0,observed
srv0163,0,2025-12,3,0,0,observed
srv0164,0,2025-12,3,0,0,observed
srv0165,0,2025-12,3,0,0,observed
srv0166,0,2025-12,3,0,0,observed
srv0167,0,2025-12,3,0,0,observed
srv0168,0,2025-12,3,0,0,observed
srv0169,0,2025-12,3,0,0,observed
srv0170,0,2025-12,3,0,0,observed
srv0171,0,2025-12,3,0,0,observed
srv0172,0,2025-12,3,0,0,observed
srv0173,0,2025-12,3,0,0,observed
srv0174,0,2025-12,3,0,0,observed
srv0175,0,2025-12,3,0,0,observed
srv0176,0,2025-12,3,0,0,observed
srv0177,0,2025-12,3,0,0,observed
srv0178,0,2025-12,3,0,0,observed
srv0179,0,2025-12,3,0,0,observed
srv0180,0,2025-12,3,0,0,observed
srv0181,0,2025-12,3,0,0,observed
srv0182,0,2025-12,3,0,0,observed
srv0183,0,2025-12,3,0,0,observed
srv0184,0,2025-12,3,0,0,observed
srv0185,0,2025-12,3,0,0,observed
srv0186,0,2025-12,3,0,0,observed
srv0187,0,2025-12,3,0,0,observed
srv0188,0,2025-12,3,0,0,observed
srv0189,0,2025-12,3,0,0,observed
srv0190,0,2025-12,3,0,0,observed
srv0191,0,2025-12,3,0,0,observed
srv0192,0,2025-12,3,0,0,observed
srv0193,0,2025-12,3,0,0,observed
srv0194,0,2025-12,3,0,0,observed
srv0195,0,2025-12,3,0,0,observed
srv0196,0,2025-12,3,0,0,observed
srv0197,0,2025-12,3,0,0,observed
srv0198,0,2025-12,3,0,0,observed
srv0199,0,2025-12,3,0,0,observed
srv0200,0,2025-12,3,0,0,observed
srv0201,0,2025-12,3,0,0,observed
srv0202,0,2025-12,3,0,0,observed
srv0203,0,2025-12,3,0,0,observed
srv0204,0,2025-12,3,0,0,observed
srv0205,0,2025-12,3,0,0,observed
srv0206,0,2025-12,3,0,0,observed
srv0207,0,2025-12,3,0,0,observed
srv0208,0,2025-12,3,0,0,observed
srv0209,0,2025-12,3,0,0,observed
srv0210,0,2025-12,3,0,0,observed
srv0211,0,2025-12,3,0,0,observed
srv0212,0,2025-12,3,0,0,observed
srv0213,0,2025-12,3,0,0,observed
srv0214,0,2025-12,3,0,0,observed
srv0215,0,2025-12,3,0,0,observed
srv0216,0,2025-12,3,0,0,observed
srv0217,0,2025-12,3,0,0,observed
srv0218,0,2025-12,3,0,0,observed
srv0219,0,2025-12,3,0,0,observed
srv0220,0,2025-12,3,0,0,observed
srv0221,0,2025-12,3,0,0,observed
srv0222,0,2025-12,3,0,0,observed
srv0223,0,2025-12,3,0,0,observed
srv0224,0,2025-12,3,0,0,observed
srv0225,0,2025-12,3,0,0,observed
srv0226,0,2025-12,3,0,0,observed
srv0227,0,2025-12,3,0,0,observed
srv0228,0,2025-12,3,0,0,observed
srv0229,0,2025-12,3,0,0,observed
srv0230,0,2025-12,3,0,0,observed
srv0231,0,2025-12,3,0,0,observed
srv0232,0,2025-12,3,0,0,observed
srv0233,0,2025-12,3,0,0,observed
srv0234,0,2025-12,3,0,0,observed
srv0235,0,2025-12,3,0,0,observed
srv0236,0,2025-12,3,0,0,observed
srv0237,0,2025-12,3,0,0,observed
srv0238,0,2025-12,3,0,0,observed
srv0239,0,2025-12,3,0,0,observed
srv0240,0,2025-12,3,0,0,observed
srv0241,0,2025-12,3,0,0,observed
srv0242,0,2025-12,3,0,0,observed
srv0243,0,2025-12,3,0,0,observed
srv0244,0,2025-12,3,0,0,observed
srv0245,0,2025-12,3,0,0,observed
srv0246,0,2025-12,3,0,0,observed
srv0247,0,2025-12,3,0,0,observed
srv0248,0,2025-12,3,0,0,observed
srv0249,0,2025-12,3,0,0,observed
srv0250,0,2025-12,3,0,0,observed
srv0251,0,2025-12,3,0,0,observed
srv0252,0,2025-12,3,0,0,observed
srv0253,0,2025-12,3,0,0,observed
srv0254,0,2025-12,3,0,0,observed
srv0255,0,2025-12,3,0,0,observed
srv0256,0,2025-12,3,0,0,observed
srv0257,0,2025-12,3,0,0,observed
srv0258,0,2025-12,3,0,0,observed
srv0259,0,2025-12,3,0,0,observed
srv0260,0,2025-12,3,0,0,observed
srv0261,0,2025-12,3,0,0,observed
srv0262,0,2025-12,3,0,0,observed
srv0263,0,2025-12,3,0,0,observed
srv0264,0,2025-12,3,0,0,observed
srv0265,0,2025-12,3,0,0,observed
srv0266,0,2025-12,3,0,0,observed
srv0267,0,2025-12,3,0,0,observed
srv0268,0,2025-12,3,0,0,observed
srv0269,0,2025-12,3,0,0,observed
srv0270,0,2025-12,3,0,0,observed
srv0271,0,2025-12,3,0,0,observed
srv0272,0,2025-12,3,0,0,observed
srv0273,0,2025-12,3,0,0,observed
srv0274,0,2025-12,3,0,0,observed
srv0275,0,2025-12,3,0,0,observed
srv0276,0,2025-12,3,0,0,observed
srv0277,0,2025-12,3,0,0,observed
srv0278,0,2025-12,3,0,0,observed
srv0279,0,2025-12,3,0,0,observed
srv0280,0,2025-12,3,0,0,observed
srv0281,0,2025-12,3,0,0,observed
srv0282,0,2025-12,3,0,0,observed
srv0283,0,2025-12,3,0,0,observed
srv0284,0,2025-12,3,0,0,observed
srv0285,0,2025-12,3,0,0,observed
srv0286,0,2025-12,3,0,0,observed
srv0287,0,2025-12,3,0,0,observed
srv0288,0,2025-12,3,0,0,observed
srv0289,0,2025-12,3,0,0,observed
srv0290,0,2025-12,3,0,0,observed
srv0291,0,2025-12,3,0,0,observed
srv0292,0,2025-12,3,0,0,observed
srv0293,0,2025-12,3,0,0,observed
srv0294,0,2025-12,3,0,0,observed
srv0295,0,2025-12,3,0,0,observed
srv0296,0,2025-12,3,0,0,observed
srv0297,0,2025-12,3,0,0,observed
srv0298,0,2025-12,3,0,0,observed
srv0299,0,2025-12,3,0,0,observed
srv0300,0,2025-12,3,0,0,observed
srv0301,0,2025-12,3,0,0,observed
srv0302,0,2025-12,3,0,0,observed
srv0303,0,2025-12,3,0,0,observed
srv0304,0,2025-12,3,0,0,observed
srv0305,0,2025-12,3,0,0,observed
srv0306,0,2025-12,3,0,0,observed
srv0307,0,2025-12,3,0,0,observed
srv0308,0,2025-12,3,0,0,observed
srv0309,0,2025-12,3,0,0,observed
srv0310,0,2025-12,3,0,0,observed
srv0311,0,2025-12,3,0,0,observed
srv0312,0,2025-12,3,0,0,observed
srv0313,0,2025-12,3,0,0,observed
srv0314,0,2025-12,3,0,0,observed
srv0315,0,2025-12,3,0,0,observed
srv0316,0,2025-12,3,0,0,observed
srv0317,0,2025-12,3,0,0,observed
srv0318,0,2025-12,3,0,0,observed
srv0319,0,2025-12,3,0,0,observed
srv0320,0,2025-12,3,0,0,observed
srv0321,0,2025-12,3,0,0,observed
srv0322,0,2025-12,3,0,0,observed
srv0323,0,2025-12,3,0,0,observed
srv0324,0,2025-12,3,0,0,observed
srv0325,0,2025-12,3,0,0,observed
srv0326,0,2025-12,3,0,0,observed
srv0327,0,2025-12,3,0,0,observed
srv0328,0,2025-12,3,0,0,observed
srv0329,0,2025-12,3,0,0,observed
srv0330,0,2025-12,3,0,0,observed
srv0331,0,2025-12,3,0,0,observed
srv0332,0,2025-12,3,0,0,observed
srv0333,0,2025-12,3,0,0,observed
srv0334,0,2025-12,3,0,0,observed
srv0335,0,2025-12,3,0,0,observed
srv0336,0,2025-12,3,0,0,observed
srv0337,0,2025-12,3,0,0,observed
srv0338,0,2025-12,3,0,0,observed
srv0339,0,2025-12,3,0,0,observed
ord0340,2,2025-11,1,2,0,ar_filled
ord0341,2,2025-11,1,2,0,ar_filled
ord0342,1,2025-11,2,1,0,ar_filled
ord0343,2,2025-11,1,2,0,ar_filled
ord0344,2,2025-11,1,2,0,ar_filled
ord0345,2,2025-11,1,2,0,ar_filled
ord0346,2,2025-11,1,2,0,ar_filled
ord0347,2,2025-11,1,2,0,ar_filled
ord0348,2,2025-11,1,2,0,ar_filled
ord0349,2,2025-11,1,2,0,ar_filled
ord0350,1,2025-11,2,1,0,ar_filled
ord0351,2,2025-11,1,2,0,ar_filled
ord0352,2,2025-11,1,2,0,ar_filled
ord0353,1,2025-11,2,1,0,ar_filled
ord0354,2,2025-11,1,2,0,ar_filled
ord0355,2,2025-11,1,2,0,ar_filled
ord0356,2,2025-11,1,2,0,ar_filled
ord0357,1,2025-11,2,1,0,ar_filled
ord0358,1,2025-11,2,1,0,ar_filled
ord0359,2,2025-11,1,2,0,ar_filled
ord0360,1,2025-11,2,1,0,ar_filled
ord0361,2,2025-11,1,2,0,ar_filled
ord0362,1,2025-11,2,1,0,ar_filled
ord0363,2,2025-11,1,2,0,ar_filled
ord0364,2,2025-11,1,2,0,ar_filled
ord0365,2,2025-11,1,2,0,ar_filled
ord0366,2,2025-11,1,2,0,ar_filled
ord0367,2,2025-11,1,2,0,ar_filled
ord0368,2,2025-11,1,2,0,ar_filled
ord0369,1,2025-11,2,1,0,ar_filled
ord0370,2,2025-11,1,2,0,ar_filled
ord0371,1,2025-11,2,1,0,ar_filled
ord0372,1,2025-11,2,1,0,ar_filled
ord0373,2,2025-11,1,2,0,ar_filled
ord0374,1,2025-11,2,1,0,ar_filled
trn0375,2,2025-11,1,2,0,ar_filled
trn0376,2,2025-11,1,2,0,ar_filled
trn0377,1,2025-11,2,1,0,ar_filled
trn0378,1,2025-11,2,1,0,ar_filled
trn0379,2,2025-11,1,2,0,ar_filled
trn0380,1,2025-11,2,1,0,ar_filled
trn0381,1,2025-11,2,1,0,ar_filled
trn0382,2,2025-11,1,2,0,ar_filled
trn0383,2,2025-11,1,2,0,ar_filled
trn0384,2,2025-11,1,2,0,ar_filled
trn0385,1,2025-11,2,1,0,ar_filled
trn0386,2,2025-11,1,2,0,ar_filled
trn0387,2,2025-11,1,2,0,ar_filled
trn0388,1,2025-11,2,1,0,ar_filled
trn0389,2,2025-11,1,2,0,ar_filled
trn0390,2,2025-11,1,2,0,ar_filled
trn0391,2,2025-11,1,2,0,ar_filled
trn0392,2,2025-11,1,2,0,ar_filled
trn0393,1,2025-11,2,1,0,ar_filled
trn0394,2,2025-11,1,2,0,ar_filled
trn0395,1,2025-11,2,1,0,ar_filled
trn0396,2,2025-11,1,2,0,ar_filled
trn0397,1,2025-11,2,1,0,ar_filled
trn0398,1,2025-11,2,1,0,ar_filled
trn0399,1,2025-11,2,1,0,ar_filled
trn0400,2,2025-11,1,2,0,ar_filled
trn0401,2,2025-11,1,2,0,ar_filled
trn0402,2,2025-11,1,2,0,ar_filled
trn0403,2,2025-11,1,2,0,ar_filled
prd0404,1,2025-11,2,1,0,ar_filled
prd0405,1,2025-11,2,1,0,ar_filled
prd0406,1,2025-11,2,1,0,ar_filled
prd0407,1,2025-11,2,1,0,ar_filled
prd0408,1,2025-11,2,1,0,ar_filled
prd0409,1,2025-11,2,1,0,ar_filled
prd0410,2,2025-11,1,2,0,ar_filled
prd0411,2,2025-11,1,2,0,ar_filled
prd0412,1,2025-11,2,1,0,ar_filled
prd0413,2,2025-11,1,2,0,ar_filled
prd0414,2,2025-11,1,2,0,ar_filled
prd0415,1,2025-11,2,1,0,ar_filled
prd0416,2,2025-11,1,2,0,ar_filled
prd0417,1,2025-11,2,1,0,ar_filled
prd0418,1,2025-11,2,1,0,ar_filled
prd0419,2,2025-11,1,2,0,ar_filled
prd0420,2,2025-11,1,2,0,ar_filled
prd0421,2,2025-11,1,2,0,ar_filled
prd0422,2,2025-11,1,2,0,ar_filled
prd0423,2,2025-11,1,2,0,ar_filled
prd0424,2,2025-11,1,2,0,ar_filled
prd0425,2,2025-11,1,2,0,ar_filled
prd0426,1,2025-11,2,1,0,ar_filled
prd0427,1,2025-11,2,1,0,ar_filled
prd0428,1,2025-11,2,1,0,ar_filled
prd0429,2,2025-11,1,2,0,ar_filled
prd0430,1,2025-11,2,1,0,ar_filled
prd0431,2,2025-11,1,2,0,ar_filled
prd0432,1,2025-11,2,1,0,ar_filled
prd0433,1,2025-11,2,1,0,ar_filled
prd0434,2,2025-11,1,2,0,ar_filled
prd0435,2,2025-11,1,2,0,ar_filled
prd0436,1,2025-11,2,1,0,ar_filled
prd0437,2,2025-11,1,2,0,ar_filled
prd0438,2,2025-11,1,2,0,ar_filled
prd0439,1,2025-11,2,1,0,ar_filled
prd0440,1,2025-11,2,1,0,ar_filled
prd0441,1,2025-11,2,1,0,ar_filled
prd0442,2,2025-11,1,2,0,ar_filled
prd0443,1,2025-11,2,1,0,ar_filled
prd0444,1,2025-11,2,1,0,ar_filled
con0445,1,2025-11,2,1,0,ar_filled
con0446,2,2025-11,1,2,0,ar_filled
con0447,1,2025-11,2,1,0,ar_filled
con0448,1,2025-11,2,1,0,ar_filled
con0449,1,2025-11,2,1,0,ar_filled
con0450,1,2025-11,2,1,0,ar_filled
con0451,2,2025-11,1,2,0,ar_filled
con0452,2,2025-11,1,2,0,ar_filled
con0453,2,2025-11,1,2,0,ar_filled
con0454,2,2025-11,1,2,0,ar_filled
con0455,1,2025-11,2,1,0,ar_filled
con0456,1,2025-11,2,1,0,ar_filled
con0457,1,2025-11,2,1,0,ar_filled
con0458,1,2025-11,2,1,0,ar_filled
con0459,1,2025-11,2,1,0,ar_filled
con0460,1,2025-11,2,1,0,ar_filled
con0461,1,2025-11,2,1,0,ar_filled
con0462,2,2025-11,1,2,0,ar_filled
trd0463,2,2025-11,1,2,0,ar_filled
trd0464,1,2025-11,2,1,0,ar_filled
trd0465,2,2025-11,1,2,0,ar_filled
trd0466,2,2025-11,1,2,0,ar_filled
trd0467,1,2025-11,2,1,0,ar_filled
trd0468,2,2025-11,1,2,0,ar_filled
trd0469,2,2025-11,1,2,0,ar_filled
trd0470,2,2025-11,1,2,0,ar_filled
trd0471,1,2025-11,2,1,0,ar_filled
trd0472,2,2025-11,1,2,0,ar_filled
trd0473,2,2025-11,1,2,0,ar_filled
trd0474,1,2025-11,2,1,0,ar_filled
trd0475,2,2025-11,1,2,0,ar_filled
trd0476,2,2025-11,1,2,0,ar_filled
trd0477,2,2025-11,1,2,0,ar_filled
trd0478,2,2025-11,1,2,0,ar_filled
trd0479,1,2025-11,2,1,0,ar_filled
trd0480,1,2025-11,2,1,0,ar_filled
trd0481,2,2025-11,1,2,0,ar_filled
trd0482,1,2025-11,2,1,0,ar_filled
trd0483,2,2025-11,1,2,0,ar_filled
trd0484,2,2025-11,1,2,0,ar_filled
trd0485,2,2025-11,1,2,0,ar_filled
trd0486,2,2025-11,1,2,0,ar_filled
trd0487,2,2025-11,1,2,0,ar_filled
trd0488,1,2025-11,2,1,0,ar_filled
trd0489,2,2025-11,1,2,0,ar_filled
trd0490,2,2025-11,1,2,0,ar_filled
trd0491,2,2025-11,1,2,0,ar_filled
prc0492,1,2025-11,2,1,0,ar_filled
prc0493,0,2025-12,3,0,0,observed
prc0494,2,2025-11,1,2,0,ar_filled
prc0495,2,2025-11,1,2,0,ar_filled
prc0496,0,2025-12,3,0,0,observed
prc0497,0,2025-12,3,0,0,observed
prc0498,1,2025-11,2,1,0,ar_filled
prc0499,0,2025-12,3,0,0,observed
prc0500,0,2025-12,3,0,0,observed
prc0501,2,2025-11,1,2,0,ar_filled
prc0502,1,2025-11,2,1,0,ar_filled
prc0503,1,2025-11,2,1,0,ar_filled
prc0504,1,2025-11,2,1,0,ar_filled
prc0505,0,2025-12,3,0,0,observed
prc0506,1,2025-11,2,1,0,ar_filled
prc0507,0,2025-12,3,0,0,observed
prc0508,2,2025-11,1,2,0,ar_filled
prc0509,1,2025-11,2,1,0,ar_filled
prc0510,1,2025-11,2,1,0,ar_filled
prc0511,1,2025-11,2,1,0,ar_filled
prc0512,2,2025-11,1,2,0,ar_filled
prc0513,1,2025-11,2,1,0,ar_filled
prc0514,1,2025-11,2,1,0,ar_filled
cmd0515,2,2025-11,1,2,0,ar_filled
cmd0516,1,2025-11,2,1,0,ar_filled
cmd0517,2,2025-11,1,2,0,ar_filled
cmd0518,1,2025-11,2,1,0,ar_filled
cmd0519,0,2025-12,3,0,0,observed
cmd0520,2,2025-11,1,2,0,ar_filled
cmd0521,0,2025-12,3,0,0,observed
cmd0522,0,2025-12,3,0,0,observed
cmd0523,0,2025-12,3,0,0,observed
cmd0524,0,2025-12,3,0,0,observed
cmd0525,1,2025-11,2,1,0,ar_filled
cmd0526,0,2025-12,3,0,0,observed
cmd0527,1,2025-11,2,1,0,ar_filled
cmd0528,0,2025-12,3,0,0,observed
cmd0529,0,2025-12,3,0,0,observed
cmd0530,1,2025-11,2,1,0,ar_filled
cmd0531,0,2025-12,3,0,0,observed
cmd0532,0,2025-12,3,0,0,observed
fin0533,2,2025-11,1,2,0,ar_filled
fin0534,0,2025-12,3,0,0,observed
fin0535,2,2025-11,1,2,0,ar_filled
fin0536,1,2025-11,2,1,0,ar_filled
fin0537,1,2025-11,2,1,0,ar_filled
fin0538,1,2025-11,2,1,0,ar_filled
fin0539,1,2025-11,2,1,0,ar_filled
fin0540,0,2025-12,3,0,0,observed
fin0541,1,2025-11,2,1,0,ar_filled
fin0542,0,2025-12,3,0,0,observed
fin0543,1,2025-11,2,1,0,ar_filled
fin0544,1,2025-11,2,1,0,ar_filled
fin0545,1,2025-11,2,1,0,ar_filled
fin0546,2,2025-11,1,2,0,ar_filled
fin0547,2,2025-11,1,2,0,ar_filled
fin0548,2,2025-11,1,2,0,ar_filled
fin0549,2,2025-11,1,2,0,ar_filled
fin0550,2,2025-11,1,2,0,ar_filled
glb0551,2,2025-11,1,2,0,ar_filled
glb0552,0,2025-12,3,0,0,observed
glb0553,1,2025-11,2,1,0,ar_filled
glb0554,0,2025-12,3,0,0,observed
glb0555,0,2025-12,3,0,0,observed
glb0556,0,2025-12,3,0,0,observed
glb0557,2,2025-11,1,2,0,ar_filled
glb0558,2,2025-11,1,2,0,ar_filled
glb0559,2,2025-11,1,2,0,ar_filled
glb0560,0,2025-12,3,0,0,observed
glb0561,1,2025-11,2,1,0,ar_filled
glb0562,2,2025-11,1,2,0,ar_filled
msc0563,0,2025-12,3,0,0,observed
msc0564,1,2025-11,2,1,0,ar_filled
msc0565,1,2025-11,2,1,0,ar_filled
msc0566,0,2025-12,3,0,0,observed
msc0567,0,2025-12,3,0,0,observed
msc0568,0,2025-12,3,0,0,observed
msc0569,0,2025-12,3,0,0,observed
msc0570,0,2025-12,3,0,0,observed
msc0571,1,2025-11,2,1,0,ar_filled
msc0572,2,2025-11,1,2,0,ar_filled
msc0573,1,2025-11,2,1,0,ar_filled
msc0574,2,2025-11,1,2,0,ar_filled
msc0575,1,2025-11,2,1,0,ar_filled
msc0576,0,2025-12,3,0,0,observed
msc0577,2,2025-11,1,2,0,ar_filled
msc0578,1,2025-11,2,1,0,ar_filled
msc0579,0,2025-12,3,0,0,observed
msc0580,0,2025-12,3,0,0,observed
msc0581,2,2025-11,1,2,0,ar_filled
msc0582,1,2025-11,2,1,0,ar_filled
msc0583,0,2025-12,3,0,0,observed
msc0584,1,2025-11,2,1,0,ar_filled
msc0585,0,2025-12,3,0,0,observed
