quarter,error_M1,error_M2,error_M3,nowcast_M1,nowcast_M2,nowcast_M3,actual,revision_M1_to_M3,abs_revision_M1_to_M3
2015Q3,0.669,0.1108,0.1035,0.714,0.1558,0.1485,0.045,-0.5655,0.5655
2015Q4,0.3111,0.1745,0.236,0.7311,0.5945,0.656,0.42,-0.07509999999999994,0.07509999999999994
2016Q1,-0.1827,-0.2054,-0.453,-0.2147,-0.2374,-0.485,-0.032,-0.2703,0.2703
2016Q2,0.0252,0.0168,0.2091,-0.6588,-0.6672,-0.4749,-0.684,0.18390000000000006,0.18390000000000006
2016Q3,1.5008,-0.5246,0.1417,1.5258,-0.4996,0.1667,0.025,-1.3591,1.3591
2016Q4,-0.5131,-0.7975,-0.0859,0.0799,-0.2045,0.5071,0.593,0.4272,0.4272
2017Q1,-0.631,-0.1659,-0.1201,-0.701,-0.2359,-0.1901,-0.07,0.5108999999999999,0.5108999999999999
2017Q2,0.2016,-0.3117,-0.0687,0.9686,0.4553,0.6983,0.767,-0.2703,0.2703
2017Q3,-0.6075,0.5672,-0.0751,-0.5875,0.5872,-0.0551,0.02,0.5324,0.5324
2017Q4,-0.2811,-0.1516,0.2066,-0.6431,-0.5136,-0.1554,-0.362,0.4877,0.4877
2018Q1,-1.0288,0.0554,0.2176,-1.0128,0.0714,0.2336,0.016,1.2464,1.2464
2018Q2,-0.4404,0.3514,-0.1941,-0.1734,0.6184,0.0729,0.267,0.24630000000000002,0.24630000000000002
2018Q3,-1.4148,0.082,-0.0223,-0.8768,0.62,0.5157,0.538,1.3925,1.3925
2018Q4,0.1555,-0.5373,0.0402,-0.1615,-0.8543,-0.2768,-0.317,-0.11529999999999999,0.11529999999999999
2019Q1,0.2235,-0.6718,-0.2985,0.0365,-0.8588,-0.4855,-0.187,-0.522,0.522
2019Q2,0.151,-0.2298,-0.6921,0.115,-0.2658,-0.7281,-0.036,-0.8431,0.8431
2019Q3,-0.0739,-0.1972,-0.2355,0.5451,0.4218,0.3835,0.619,-0.16160000000000002,0.16160000000000002
2019Q4,0.8648,0.5872,-0.3901,1.0608,0.7832,-0.1941,0.196,-1.2549,1.2549
2020Q1,0.9895,0.1416,-0.4128,-1.0105,-1.8584,-2.4128,-2.0,-1.4022999999999999,1.4022999999999999
2020Q2,-0.0107,0.0332,-0.4394,-9.5107,-9.4668,-9.9394,-9.5,-0.4286999999999992,0.4286999999999992
2020Q3,0.5705,-0.0729,-0.4015,9.2705,8.6271,8.2985,8.7,-0.9719999999999995,0.9719999999999995
2020Q4,-0.4611,0.2004,-0.2589,0.1389,0.8004,0.3411,0.6,0.20220000000000002,0.20220000000000002
2021Q1,0.1487,-0.7354,0.1828,0.2697,-0.6144,0.3038,0.121,0.03410000000000002,0.03410000000000002
2021Q2,-1.4253,-0.5591,0.0571,-1.4253,-0.5591,0.0571,-0.0,1.4824,1.4824
2021Q3,-0.6945,-0.1531,0.1762,0.3495,0.8909,1.2202,1.044,0.8707,0.8707
2021Q4,-0.445,-0.3419,0.2758,-0.249,-0.1459,0.4718,0.196,0.7208,0.7208
2022Q1,0.2631,0.954,0.0833,0.2111,0.902,0.0313,-0.052,-0.17980000000000002,0.17980000000000002
2022Q2,-0.4893,-0.0167,-0.3576,0.4477,0.9203,0.5794,0.937,0.13170000000000004,0.13170000000000004
2022Q3,-0.3221,-0.3185,0.4184,-0.5471,-0.5435,0.1934,-0.225,0.7405,0.7405
2022Q4,-0.6932,0.3695,0.2926,-0.7342,0.3285,0.2516,-0.041,0.9858,0.9858
2023Q1,-0.9352,0.0125,-0.6232,-1.1782,-0.2305,-0.8662,-0.243,0.31199999999999994,0.31199999999999994
2023Q2,-1.4163,-0.695,-0.182,-1.1403,-0.419,0.094,0.276,1.2343000000000002,1.2343000000000002
2023Q3,0.1395,-0.2978,-0.1123,0.3895,-0.0478,0.1377,0.25,-0.2518,0.2518
2023Q4,-1.0008,0.6118,-0.3526,-0.3458,1.2668,0.3024,0.655,0.6482,0.6482
2024Q1,-1.474,1.0029,-0.1834,-0.553,1.9239,0.7376,0.921,1.2906,1.2906
2024Q2,-1.3496,0.7456,0.231,-1.5646,0.5306,0.016,-0.215,1.5806,1.5806
2024Q3,-1.2079,-0.2342,0.0582,-0.8839,0.0898,0.3822,0.324,1.2661,1.2661
2024Q4,-0.2624,0.0431,-0.1987,0.2066,0.5121,0.2703,0.469,0.06369999999999998,0.06369999999999998
2025Q1,-0.0898,0.6013,-0.1187,0.1392,0.8303,0.1103,0.229,-0.028899999999999995,0.028899999999999995
2025Q2,1.5818,0.1792,0.2135,1.6658,0.2632,0.2975,0.084,-1.3683,1.3683
2025Q3,0.9616,-0.0849,-0.0645,0.6566,-0.3899,-0.3695,-0.305,-1.0261,1.0261
2025Q4,-0.584,-0.2199,0.0962,-0.461,-0.0969,0.2192,0.123,0.6802,0.6802
