quarter,feature,mean_abs_shap
2011Q2,srv0156__L0,1.33505
2011Q2,srv0082__L2,0.21155
2011Q2,srv0133__L0,0.09409
2011Q2,trd0472__L1,1.5499
2011Q2,prc0511__L0,0.59097
2011Q2,srv0081__L1,0.72107
2011Q2,prd0413__L2,0.05336
2011Q2,srv0319__L2,0.69754
2011Q2,trd0489__L2,0.08043
2011Q2,srv0292__L2,0.23347
2011Q2,srv0058__L1,0.37213
2011Q2,srv0074__L1,0.01955
2011Q2,glb0557__L0,0.71067
2011Q2,srv0212__L0,0.0375
2011Q2,srv0130__L1,0.07637
2011Q2,cmd0522__L1,0.83594
2011Q3,msc0568__L2,0.02024
2011Q3,srv0195__L0,0.72773
2011Q3,srv0046__L0,0.32346
2011Q3,srv0127__L1,1.05985
2011Q3,srv0029__L0,0.5602
2011Q3,cmd0528__L1,0.72029
2011Q3,srv0092__L1,0.05507
2011Q3,srv0252__L0,0.13215
2011Q3,srv0154__L2,0.44813
2011Q3,srv0162__L1,0.47441
2011Q3,srv0054__L0,0.47038
2011Q3,glb0560__L1,0.20776
2011Q3,srv0189__L1,1.15284
2011Q3,cmd0522__L0,1.23816
2011Q3,srv0015__L2,0.34715
2011Q3,srv0295__L2,0.54797
2011Q3,srv0198__L2,0.02634
2011Q3,srv0281__L1,0.318
2011Q3,srv0112__L0,0.57215
2011Q3,srv0130__L0,0.63139
2011Q3,srv0041__L2,0.26361
2011Q3,trd0479__L2,0.1249
2011Q3,prd0435__L0,0.09595
2011Q3,prd0438__L1,0.18358
2011Q3,srv0122__L2,0.11435
2011Q3,srv0135__L0,0.21618
2011Q3,srv0074__L0,0.35115
2011Q3,glb0557__L1,0.54006
2011Q3,srv0262__L1,0.62435
2011Q3,prd0443__L2,1.02224
2011Q3,srv0138__L0,1.80374
2011Q3,srv0080__L1,0.20051
2011Q3,srv0125__L0,0.34411
2011Q3,prd0419__L0,0.63534
2011Q3,ord0355__L2,0.27088
2011Q3,srv0319__L2,2.6253
2011Q3,srv0187__L0,0.98126
2011Q3,trn0376__L1,0.79451
2011Q3,trn0379__L2,0.08694
2011Q3,trn0385__L1,0.00366
2011Q3,msc0582__L1,0.2278
2011Q3,srv0176__L0,0.24468
2011Q3,prd0413__L2,0.05422
2011Q3,srv0104__L2,0.07088
2011Q3,con0446__L0,0.50042
2011Q3,srv0248__L2,0.67128
2011Q3,msc0585__L2,1.82037
2011Q3,trd0478__L2,2.49928
2011Q3,srv0082__L1,1.1981
2011Q3,srv0102__L1,0.02953
2011Q3,srv0117__L1,0.76579
2011Q3,trd0471__L2,0.72256
2011Q3,srv0068__L2,1.94776
2011Q3,srv0081__L0,0.32069
2011Q3,srv0058__L0,0.54365
2011Q3,srv0322__L0,0.09804
2011Q3,cmd0521__L2,1.20369
2011Q3,prd0431__L0,0.72966
2011Q3,trd0490__L0,0.12443
2011Q3,srv0158__L0,1.42063
2011Q4,srv0102__L1,0.13169
2011Q4,srv0108__L2,0.40297
2011Q4,srv0158__L2,1.88261
2011Q4,trd0472__L1,0.09963
2011Q4,srv0304__L2,0.04019
2011Q4,trd0467__L1,0.08395
2011Q4,srv0131__L2,0.11518
2011Q4,srv0081__L0,1.56259
2011Q4,msc0585__L0,0.11218
2011Q4,srv0248__L2,0.44481
2011Q4,srv0281__L1,0.31631
2011Q4,srv0324__L2,0.92398
2011Q4,srv0125__L0,0.56257
2011Q4,prd0438__L1,0.12921
2011Q4,prd0413__L2,0.91963
2011Q4,trd0479__L2,2.17998
2011Q4,srv0204__L0,0.04107
2011Q4,srv0041__L0,0.1196
2011Q4,srv0104__L2,2.2995
2011Q4,prd0419__L2,0.33845
2011Q4,srv0113__L2,0.48168
2011Q4,srv0236__L2,1.73689
2011Q4,srv0044__L0,0.17134
2011Q4,msc0583__L2,0.70773
2011Q4,trd0489__L1,0.52542
2011Q4,trd0490__L0,0.64982
2011Q4,trn0376__L0,0.59148
2011Q4,srv0162__L1,0.00794
2011Q4,srv0210__L1,0.71165
2011Q4,trd0471__L0,0.15919
2011Q4,srv0154__L0,0.09067
2011Q4,srv0130__L2,1.05111
2011Q4,fin0534__L2,0.08774
2011Q4,srv0015__L0,1.94598
2011Q4,srv0320__L2,0.7676
2011Q4,cmd0522__L0,0.05342
2011Q4,ord0353__L0,0.14008
2011Q4,srv0187__L1,0.07751
2011Q4,srv0092__L0,0.62511
2011Q4,srv0198__L0,0.09456
2011Q4,srv0074__L0,0.45036
2011Q4,srv0133__L2,0.44864
2011Q4,ord0366__L0,0.97363
2011Q4,ord0362__L0,0.40639
2011Q4,trd0476__L0,0.14082
2011Q4,msc0568__L0,0.44986
2011Q4,srv0112__L2,0.6202
2011Q4,srv0017__L0,1.1256
2011Q4,srv0171__L2,1.82623
2011Q4,srv0080__L1,0.01081
2011Q4,srv0322__L0,0.39234
2011Q4,cmd0521__L2,0.01993
2011Q4,srv0319__L2,0.87436
2011Q4,ord0356__L0,0.75603
2011Q4,trd0483__L1,0.7803
2011Q4,prc0511__L2,0.5396
2011Q4,prd0433__L2,0.04934
2011Q4,ord0355__L0,0.55126
2011Q4,srv0135__L2,1.56424
2011Q4,srv0068__L1,0.23557
2012Q1,msc0585__L1,0.21983
2012Q1,cmd0515__L0,0.50983
2012Q1,ord0366__L1,0.66301
2012Q1,srv0102__L2,0.7975
2012Q1,srv0028__L2,0.93383
2012Q1,prc0511__L0,0.55414
2012Q1,srv0113__L0,0.43589
2012Q1,srv0135__L2,0.04876
2012Q1,srv0316__L2,0.35507
2012Q1,prd0413__L0,0.06638
2012Q1,srv0322__L2,0.33983
2012Q1,srv0112__L1,0.62361
2012Q1,msc0579__L1,0.1083
2012Q1,prd0431__L2,0.492
2012Q1,prd0426__L2,0.13661
2012Q1,srv0187__L2,0.39335
2012Q1,srv0122__L0,0.59651
2012Q1,srv0128__L2,0.75393
2012Q1,trd0471__L0,0.25055
2012Q1,srv0029__L2,1.07329
2012Q1,srv0130__L0,0.78805
2012Q1,srv0262__L0,0.16808
2012Q1,srv0248__L2,1.16587
2012Q1,srv0074__L0,0.01858
2012Q1,fin0534__L2,0.42026
2012Q1,trd0479__L1,0.23506
2012Q1,trd0478__L2,0.16742
2012Q1,srv0210__L0,0.23456
2012Q1,glb0560__L0,0.73095
2012Q1,trn0385__L1,0.05813
2012Q1,srv0236__L2,0.39983
2012Q1,srv0319__L2,2.42802
2012Q1,srv0156__L1,0.05498
2012Q1,srv0158__L0,2.27381
2012Q1,srv0154__L2,0.5183
2012Q1,srv0082__L0,0.41424
2012Q1,ord0353__L0,0.63881
2012Q1,srv0041__L2,1.32044
2012Q1,srv0281__L0,0.86646
2012Q1,srv0104__L0,0.24769
2012Q1,srv0058__L0,0.22406
2012Q1,srv0081__L2,0.06885
2012Q1,trd0489__L2,0.18055
2012Q1,srv0189__L2,0.49331
2012Q1,srv0046__L2,0.26431
2012Q1,srv0080__L0,0.67562
2012Q1,ord0355__L2,0.28169
2012Q1,srv0304__L1,0.09368
2012Q1,srv0138__L0,0.24298
2012Q1,srv0195__L2,0.04046
2012Q1,srv0324__L2,1.06818
2012Q1,srv0212__L1,0.82239
2012Q1,srv0132__L2,0.04986
2012Q1,msc0583__L1,0.05718
2012Q1,msc0582__L0,0.85119
2012Q1,srv0017__L2,0.66916
2012Q1,srv0117__L0,0.78525
2012Q1,prd0443__L0,0.60852
2012Q1,srv0320__L1,0.06413
2012Q1,trn0379__L1,0.17212
2012Q2,srv0210__L0,0.50539
2012Q2,trd0467__L0,0.27715
2012Q2,prd0431__L2,0.8855
2012Q2,srv0248__L0,0.06523
2012Q2,prd0408__L0,0.24135
2012Q2,srv0186__L2,2.70699
2012Q2,srv0337__L2,1.68258
2012Q2,srv0125__L2,0.27543
2012Q2,srv0202__L0,0.62772
2012Q2,srv0320__L1,1.04239
2012Q2,srv0135__L1,0.71224
2012Q2,srv0304__L1,1.01024
2012Q2,ord0362__L1,0.15492
2012Q2,srv0062__L1,0.547
2012Q2,srv0295__L1,0.3499
2012Q2,srv0102__L1,1.4454
2012Q2,srv0160__L2,0.0095
2012Q2,srv0195__L0,1.55216
2012Q2,trn0376__L0,0.20761
2012Q2,srv0038__L0,0.01627
2012Q2,srv0138__L1,0.05293
2012Q2,cmd0517__L0,0.4902
2012Q2,trd0478__L0,0.1278
2012Q2,prd0438__L2,0.47859
2012Q2,srv0081__L0,0.71914
2012Q2,ord0353__L2,0.23034
2012Q2,srv0187__L1,1.00739
2012Q2,msc0579__L1,0.96044
2012Q2,con0446__L0,0.28022
2012Q2,ord0347__L2,0.88081
2012Q2,srv0131__L1,0.76444
2012Q2,srv0292__L0,0.02984
2012Q2,cmd0522__L2,0.27647
2012Q2,srv0104__L2,0.19277
2012Q2,cmd0515__L2,0.36899
2012Q2,prd0435__L2,1.18188
2012Q2,srv0074__L2,0.2483
2012Q2,fin0534__L1,0.3061
2012Q2,con0453__L2,0.36972
2012Q2,trd0483__L2,0.07059
2012Q2,ord0340__L1,0.2157
2012Q2,srv0103__L1,0.0272
2012Q2,srv0128__L2,0.01764
2012Q2,trd0476__L1,0.51992
2012Q2,srv0176__L1,0.04013
2012Q2,ord0358__L1,0.58132
2012Q2,srv0029__L1,0.27133
2012Q2,srv0127__L0,0.4403
2012Q2,srv0171__L1,0.44524
2012Q2,trn0379__L1,0.38061
2012Q2,prd0443__L1,0.25656
2012Q2,srv0017__L1,0.18772
2012Q2,srv0204__L1,0.07614
2012Q2,srv0028__L0,0.35713
2012Q2,prd0413__L2,0.96455
2012Q2,trn0385__L0,0.03792
2012Q2,trd0490__L2,0.26767
2012Q2,srv0143__L2,0.02236
2012Q2,prc0511__L1,0.0712
2012Q2,msc0585__L2,0.39338
2012Q3,srv0316__L0,0.0715
2012Q3,msc0579__L1,0.27447
2012Q3,trd0464__L0,0.10752
2012Q3,srv0127__L1,0.08429
2012Q3,srv0132__L2,0.02088
2012Q3,srv0202__L2,1.30592
2012Q3,srv0081__L2,0.2657
2012Q3,cmd0521__L2,2.9395
2012Q3,srv0171__L0,1.38621
2012Q3,trd0489__L0,0.02526
2012Q3,srv0125__L2,0.1912
2012Q3,srv0113__L2,0.52066
2012Q3,srv0054__L0,1.26327
2012Q3,prd0433__L2,0.76153
2012Q3,srv0320__L0,1.01823
2012Q3,srv0130__L2,0.09004
2012Q3,srv0138__L2,0.24373
2012Q3,cmd0515__L1,0.16642
2012Q3,srv0236__L2,0.122
2012Q3,ord0366__L1,1.30861
2012Q3,srv0062__L1,1.03657
2012Q3,msc0568__L1,1.1569
2012Q3,ord0355__L1,0.31056
2012Q3,ord0347__L0,1.04137
2012Q3,trd0483__L0,0.45459
2012Q3,prd0443__L2,1.42667
2012Q3,srv0322__L1,0.11967
2012Q3,srv0158__L2,0.3478
2012Q3,srv0248__L1,0.28742
2012Q3,srv0135__L1,0.24298
2012Q3,srv0143__L0,1.31805
2012Q3,srv0092__L0,0.30231
2012Q3,srv0195__L1,0.54957
2012Q3,srv0252__L1,0.17094
2012Q3,srv0058__L2,0.02092
2012Q3,srv0046__L0,0.45545
2012Q3,srv0038__L1,0.82224
2012Q3,trn0379__L2,0.10147
2012Q3,srv0292__L0,0.52214
2012Q3,srv0028__L0,0.22132
2012Q3,msc0585__L1,0.44566
2012Q3,srv0335__L2,0.23197
2012Q3,srv0281__L0,0.27252
2012Q3,srv0186__L0,0.17127
2012Q3,srv0162__L1,0.03697
2012Q3,fin0534__L2,0.70925
2012Q3,srv0128__L0,0.00576
2012Q3,srv0041__L1,0.08806
2012Q3,prd0438__L2,0.15984
2012Q3,srv0102__L0,0.32433
2012Q3,glb0560__L1,0.84863
2012Q3,srv0015__L0,1.18202
2012Q3,srv0068__L0,0.58627
2012Q3,srv0133__L2,0.8078
2012Q3,srv0212__L2,0.34929
2012Q3,srv0295__L2,0.21105
2012Q3,prd0431__L1,0.54243
2012Q3,prd0426__L0,0.42075
2012Q3,trd0478__L0,0.65217
2012Q3,srv0305__L1,0.60574
2012Q4,trd0464__L1,0.33708
2012Q4,srv0062__L2,0.82437
2012Q4,srv0092__L0,1.39792
2012Q4,ord0355__L1,0.2421
2012Q4,srv0319__L0,0.3928
2012Q4,srv0117__L1,0.5937
2012Q4,prd0443__L2,0.56826
2012Q4,ord0366__L1,0.03022
2012Q4,srv0054__L0,0.08183
2012Q4,srv0156__L0,0.43808
2012Q4,srv0125__L2,0.52238
2012Q4,con0453__L1,0.05007
2012Q4,srv0102__L0,0.18172
2012Q4,trn0385__L2,0.13807
2012Q4,trd0479__L0,0.97386
2012Q4,srv0017__L0,0.00399
2012Q4,srv0138__L0,0.63984
2012Q4,fin0534__L2,0.11023
2012Q4,srv0210__L1,2.50659
2012Q4,srv0236__L2,0.14761
2012Q4,srv0080__L1,0.02626
2012Q4,trd0467__L1,0.29843
2012Q4,trn0393__L2,0.09692
2012Q4,srv0160__L2,0.11343
2012Q4,cmd0521__L0,0.3785
2012Q4,ord0353__L2,1.15787
2012Q4,srv0122__L1,1.43195
2012Q4,srv0187__L2,0.1772
2012Q4,srv0320__L1,1.28611
2012Q4,cmd0528__L1,0.518
2012Q4,ord0340__L1,0.26263
2012Q4,ord0356__L0,0.7795
2012Q4,srv0038__L2,0.02143
2012Q4,ord0362__L1,0.64389
2012Q4,cmd0522__L0,0.78306
2012Q4,msc0568__L2,1.07837
2012Q4,srv0049__L2,1.52499
2012Q4,srv0304__L0,0.0556
2012Q4,trn0379__L0,0.09075
2012Q4,srv0108__L1,0.08803
2012Q4,srv0059__L0,0.28408
2012Q4,srv0189__L0,0.60936
2012Q4,srv0154__L0,0.25967
2012Q4,ord0347__L2,1.19293
2012Q4,prd0413__L2,0.34958
2012Q4,srv0316__L1,0.09674
2012Q4,srv0046__L0,0.1597
2012Q4,prc0511__L1,1.73655
2012Q4,srv0113__L1,0.02223
2012Q4,srv0262__L2,0.97223
2012Q4,srv0202__L1,0.22095
2012Q4,srv0068__L0,0.06225
2012Q4,msc0583__L1,0.04972
2012Q4,srv0305__L1,1.00261
2012Q4,srv0103__L2,0.20614
2012Q4,ord0358__L2,0.03599
2012Q4,prd0435__L2,0.83546
2012Q4,srv0112__L0,0.22962
2012Q4,srv0011__L2,1.41265
2012Q4,prd0433__L0,0.21825
2013Q1,srv0104__L2,0.19964
2013Q1,srv0195__L1,0.59187
2013Q1,srv0127__L0,0.18405
2013Q1,srv0044__L2,0.43753
2013Q1,srv0046__L1,0.61418
2013Q1,srv0130__L1,0.77284
2013Q1,srv0112__L0,0.9042
2013Q1,ord0362__L2,0.03177
2013Q1,srv0189__L0,0.10123
2013Q1,srv0049__L0,1.45721
2013Q1,ord0355__L0,1.24167
2013Q1,srv0062__L2,0.00325
2013Q1,glb0560__L0,0.01878
2013Q1,msc0574__L0,0.11553
2013Q1,srv0305__L0,0.54061
2013Q1,srv0158__L0,0.42119
2013Q1,cmd0528__L2,3.12914
2013Q1,cmd0521__L0,0.31003
2013Q1,prd0413__L1,0.32954
2013Q1,srv0319__L0,0.44134
2013Q1,srv0092__L2,1.42292
2013Q1,srv0171__L2,0.73271
2013Q1,msc0579__L0,0.07573
2013Q1,srv0011__L0,0.87632
2013Q1,srv0143__L2,0.46987
2013Q1,srv0304__L2,0.44004
2013Q1,msc0585__L1,0.24256
2013Q1,prd0443__L2,0.48627
2013Q1,srv0212__L2,0.65908
2013Q1,srv0082__L0,0.53005
2013Q1,srv0187__L0,1.8571
2013Q1,srv0262__L0,0.27535
2013Q1,ord0366__L1,0.10798
2013Q1,con0453__L1,0.34001
2013Q1,msc0583__L2,0.15028
2013Q1,cmd0522__L2,1.00301
2013Q1,srv0320__L1,0.03037
2013Q1,srv0059__L0,0.46425
2013Q1,ord0353__L0,0.07922
2013Q1,srv0122__L1,0.54088
2013Q1,trd0467__L0,0.30112
2013Q1,srv0131__L2,0.17523
2013Q1,srv0332__L1,0.35692
2013Q1,srv0236__L1,0.81662
2013Q1,srv0198__L2,0.01477
2013Q1,srv0015__L1,0.46053
2013Q1,trn0379__L0,0.23586
2013Q1,srv0322__L0,0.13169
2013Q1,trd0472__L1,0.72168
2013Q1,prd0433__L0,1.23373
2013Q1,srv0162__L0,0.39008
2013Q1,srv0132__L0,0.68511
2013Q1,srv0295__L0,1.51059
2013Q1,srv0125__L2,0.05913
2013Q1,srv0337__L1,0.00235
2013Q1,prd0408__L0,0.57345
2013Q1,srv0252__L0,0.09148
2013Q1,fin0534__L1,0.10035
2013Q1,srv0281__L0,0.09364
2013Q1,srv0108__L0,0.09981
2013Q2,msc0579__L2,0.36036
2013Q2,srv0049__L1,1.34352
2013Q2,srv0292__L2,0.45389
2013Q2,srv0130__L0,0.07632
2013Q2,srv0135__L0,0.18003
2013Q2,srv0176__L0,0.20811
2013Q2,ord0353__L2,0.15447
2013Q2,srv0320__L1,1.21726
2013Q2,srv0054__L2,0.64151
2013Q2,srv0322__L0,0.1826
2013Q2,cmd0528__L2,0.00071
2013Q2,srv0187__L1,0.36472
2013Q2,srv0337__L1,0.10937
2013Q2,srv0324__L2,1.45329
2013Q2,srv0108__L2,0.04146
2013Q2,prd0435__L2,0.85978
2013Q2,srv0044__L2,0.09552
2013Q2,srv0058__L1,0.35135
2013Q2,srv0059__L1,1.26241
2013Q2,prd0443__L2,0.39699
2013Q2,srv0113__L1,0.05347
2013Q2,trd0467__L2,0.53235
2013Q2,srv0143__L0,0.34216
2013Q2,msc0568__L2,0.28258
2013Q2,con0453__L0,1.00161
2013Q2,srv0133__L2,0.08223
2013Q2,srv0104__L0,0.39781
2013Q2,srv0252__L0,0.04563
2013Q2,ord0366__L0,0.4378
2013Q2,srv0125__L1,0.27781
2013Q2,srv0117__L1,0.52122
2013Q2,trd0471__L0,0.93132
2013Q2,msc0574__L1,1.25833
2013Q2,srv0081__L2,0.2388
2013Q2,ord0347__L1,2.85007
2013Q2,srv0128__L2,0.46392
2013Q2,srv0319__L2,0.27561
2013Q2,srv0046__L2,0.63535
2013Q2,srv0204__L1,0.34096
2013Q2,prd0419__L0,0.00318
2013Q2,srv0158__L0,0.18937
2013Q2,trn0379__L2,0.18363
2013Q2,srv0156__L1,0.12381
2013Q2,trd0483__L1,0.09086
2013Q2,srv0068__L0,0.27151
2013Q2,srv0112__L1,0.10113
2013Q2,srv0029__L0,0.80498
2013Q2,glb0557__L0,0.46554
2013Q2,ord0358__L0,0.29571
2013Q2,con0446__L1,1.17592
2013Q2,glb0560__L2,0.37228
2013Q2,srv0092__L0,0.25187
2013Q2,srv0262__L1,0.08507
2013Q2,srv0017__L2,0.57618
2013Q2,msc0582__L0,1.32348
2013Q2,srv0132__L1,0.02317
2013Q2,srv0210__L2,0.1137
2013Q2,srv0102__L1,0.47406
2013Q2,srv0186__L0,0.28954
2013Q2,srv0295__L2,0.18255
2013Q3,srv0171__L2,0.2897
2013Q3,cmd0522__L0,0.2853
2013Q3,srv0108__L0,0.10265
2013Q3,ord0358__L2,0.96154
2013Q3,srv0187__L0,0.31631
2013Q3,prd0419__L0,0.34053
2013Q3,srv0195__L2,0.66735
2013Q3,prd0435__L2,0.02384
2013Q3,srv0029__L0,0.69936
2013Q3,srv0131__L1,0.57641
2013Q3,cmd0515__L1,1.25197
2013Q3,srv0252__L0,0.32949
2013Q3,srv0210__L1,0.037
2013Q3,srv0058__L2,0.52204
2013Q3,fin0534__L0,0.89143
2013Q3,srv0046__L0,1.08045
2013Q3,srv0103__L2,0.46513
2013Q3,srv0337__L2,1.77892
2013Q3,srv0068__L0,0.27969
2013Q3,con0446__L2,0.75399
2013Q3,srv0130__L0,1.4291
2013Q3,prd0431__L1,0.60212
2013Q3,srv0189__L0,0.18605
2013Q3,trn0379__L1,0.65865
2013Q3,prc0511__L0,0.63291
2013Q3,srv0162__L2,0.2188
2013Q3,trn0385__L1,0.9853
2013Q3,srv0104__L0,0.62305
2013Q3,srv0158__L0,0.10133
2013Q3,srv0062__L1,0.21183
2013Q3,msc0574__L0,0.38645
2013Q3,prd0438__L2,0.62184
2013Q3,srv0186__L2,0.49417
2013Q3,srv0143__L0,1.66343
2013Q3,cmd0517__L0,1.82427
2013Q3,srv0332__L1,1.4188
2013Q3,srv0049__L1,0.35238
2013Q3,srv0127__L2,1.06434
2013Q3,prd0443__L1,0.36072
2013Q3,srv0176__L0,0.18308
2013Q3,trn0393__L2,0.57114
2013Q3,msc0585__L0,0.25306
2013Q3,ord0355__L1,0.38471
2013Q3,srv0138__L0,0.08024
2013Q3,srv0011__L1,1.66102
2013Q3,msc0582__L2,0.06592
2013Q3,trd0467__L1,0.93166
2013Q3,srv0248__L1,0.00789
2013Q3,trd0464__L2,0.29791
2013Q3,srv0160__L0,0.90685
2013Q3,msc0579__L2,0.49954
2013Q3,con0453__L2,0.55878
2013Q3,srv0044__L1,0.10335
2013Q3,srv0204__L1,0.31898
2013Q3,srv0017__L2,0.21032
2013Q3,srv0207__L2,0.82834
2013Q3,prd0433__L2,0.96484
2013Q3,srv0117__L2,0.69009
2013Q3,srv0028__L1,0.03696
2013Q3,srv0324__L1,0.32571
2013Q4,srv0248__L1,0.33638
2013Q4,prd0433__L0,0.01638
2013Q4,srv0128__L2,0.00746
2013Q4,srv0015__L2,0.90177
2013Q4,srv0117__L2,0.186
2013Q4,con0446__L0,0.41968
2013Q4,glb0560__L0,0.25498
2013Q4,trn0379__L0,0.11219
2013Q4,srv0210__L2,0.42403
2013Q4,srv0103__L1,0.17537
2013Q4,srv0080__L2,1.87103
2013Q4,srv0046__L2,0.76208
2013Q4,prd0413__L1,0.1699
2013Q4,srv0068__L2,0.05563
2013Q4,ord0353__L1,0.11019
2013Q4,srv0081__L0,0.24952
2013Q4,srv0017__L0,0.41703
2013Q4,trd0476__L2,0.16177
2013Q4,srv0204__L1,0.29073
2013Q4,srv0252__L1,0.41821
2013Q4,trd0471__L1,1.41956
2013Q4,srv0104__L0,1.8519
2013Q4,trd0490__L2,0.05919
2013Q4,prd0408__L2,1.68931
2013Q4,srv0262__L1,0.3083
2013Q4,srv0160__L2,3.8183
2013Q4,srv0154__L2,0.03579
2013Q4,srv0138__L1,0.07495
2013Q4,srv0044__L0,0.32416
2013Q4,trn0385__L2,0.45227
2013Q4,trn0376__L2,0.17604
2013Q4,prc0511__L2,0.71944
2013Q4,srv0038__L1,0.11814
2013Q4,msc0582__L0,0.00243
2013Q4,srv0316__L2,0.28189
2013Q4,srv0092__L0,0.78668
2013Q4,ord0340__L2,0.93964
2013Q4,srv0125__L2,1.18882
2013Q4,srv0198__L1,1.28081
2013Q4,msc0583__L2,0.89533
2013Q4,srv0304__L1,0.17508
2013Q4,srv0132__L2,0.7873
2013Q4,srv0236__L1,2.2137
2013Q4,srv0041__L1,0.50526
2013Q4,msc0579__L2,1.34019
2013Q4,srv0112__L2,0.33959
2013Q4,srv0319__L0,2.49053
2013Q4,fin0534__L1,1.58199
2013Q4,srv0108__L2,0.50793
2013Q4,cmd0515__L2,0.26793
2013Q4,prd0419__L0,1.13064
2013Q4,srv0122__L2,1.12441
2013Q4,srv0028__L0,0.17211
2013Q4,prd0431__L2,1.40757
2013Q4,prd0443__L1,0.61963
2013Q4,prd0435__L0,0.29694
2013Q4,srv0011__L0,0.06426
2013Q4,srv0113__L0,0.54757
2013Q4,srv0074__L1,0.1544
2013Q4,srv0324__L0,0.69828
2014Q1,prd0408__L2,1.30207
2014Q1,srv0207__L2,0.57186
2014Q1,ord0358__L2,0.14743
2014Q1,cmd0528__L1,0.09405
2014Q1,msc0579__L0,0.85429
2014Q1,srv0058__L2,0.37602
2014Q1,srv0041__L1,0.68139
2014Q1,msc0585__L0,0.0944
2014Q1,prd0431__L1,0.35154
2014Q1,srv0080__L0,0.50253
2014Q1,cmd0521__L2,0.21011
2014Q1,srv0081__L0,0.3072
2014Q1,ord0353__L1,0.03806
2014Q1,srv0320__L1,0.3353
