monthly_origin,quarter,month_in_quarter,n_indicators,k_factors,nowcast,actual,error
2013-11,2013Q3,3,31,2,0.0052,-0.317,0.3222
2013-12,2013Q4,1,44,2,-0.4986,0.585,-1.0836
2013-13,2013Q4,2,49,2,-0.0162,0.585,-0.6012
2013-14,2013Q4,3,57,2,0.5746,0.585,-0.0104
2014-03,2014Q1,1,46,2,0.4295,0.733,-0.3035
2014-04,2014Q1,2,59,2,1.5122,0.733,0.7792
2014-05,2014Q1,3,57,2,0.8061,0.733,0.0731
2014-06,2014Q2,1,59,2,0.4986,0.154,0.3446
2014-07,2014Q2,2,19,2,-0.6372,0.154,-0.7912
2014-08,2014Q2,3,28,2,0.3789,0.154,0.2249
2014-09,2014Q3,1,32,2,-1.0656,0.381,-1.4466
2014-10,2014Q3,2,28,2,-0.0723,0.381,-0.4533
2014-11,2014Q3,3,40,2,0.4793,0.381,0.0983
2014-12,2014Q4,1,54,2,1.0793,0.599,0.4803
2014-13,2014Q4,2,29,2,0.2425,0.599,-0.3565
2014-14,2014Q4,3,32,2,1.1006,0.599,0.5016
2015-03,2015Q1,1,30,2,-0.5336,0.034,-0.5676
2015-04,2015Q1,2,23,2,-0.8112,0.034,-0.8452
2015-05,2015Q1,3,40,2,0.0314,0.034,-0.0026
2015-06,2015Q2,1,32,2,-0.3818,0.151,-0.5328
2015-07,2015Q2,2,38,2,0.5632,0.151,0.4122
2015-08,2015Q2,3,31,2,0.0296,0.151,-0.1214
2015-09,2015Q3,1,59,2,0.714,0.045,0.669
2015-10,2015Q3,2,34,2,0.1558,0.045,0.1108
2015-11,2015Q3,3,41,2,0.1485,0.045,0.1035
2015-12,2015Q4,1,53,2,0.7311,0.42,0.3111
2015-13,2015Q4,2,39,2,0.5945,0.42,0.1745
2015-14,2015Q4,3,40,2,0.656,0.42,0.236
2016-03,2016Q1,1,55,2,-0.2147,-0.032,-0.1827
2016-04,2016Q1,2,28,2,-0.2374,-0.032,-0.2054
2016-05,2016Q1,3,55,2,-0.485,-0.032,-0.453
2016-06,2016Q2,1,26,2,-0.6588,-0.684,0.0252
2016-07,2016Q2,2,57,2,-0.6672,-0.684,0.0168
2016-08,2016Q2,3,17,2,-0.4749,-0.684,0.2091
2016-09,2016Q3,1,47,2,1.5258,0.025,1.5008
2016-10,2016Q3,2,46,2,-0.4996,0.025,-0.5246
2016-11,2016Q3,3,27,2,0.1667,0.025,0.1417
2016-12,2016Q4,1,33,2,0.0799,0.593,-0.5131
2016-13,2016Q4,2,38,2,-0.2045,0.593,-0.7975
2016-14,2016Q4,3,18,2,0.5071,0.593,-0.0859
2017-03,2017Q1,1,52,2,-0.701,-0.07,-0.631
2017-04,2017Q1,2,59,2,-0.2359,-0.07,-0.1659
2017-05,2017Q1,3,47,2,-0.1901,-0.07,-0.1201
2017-06,2017Q2,1,57,2,0.9686,0.767,0.2016
2017-07,2017Q2,2,37,2,0.4553,0.767,-0.3117
2017-08,2017Q2,3,47,2,0.6983,0.767,-0.0687
2017-09,2017Q3,1,17,2,-0.5875,0.02,-0.6075
2017-10,2017Q3,2,37,2,0.5872,0.02,0.5672
2017-11,2017Q3,3,53,2,-0.0551,0.02,-0.0751
2017-12,2017Q4,1,15,2,-0.6431,-0.362,-0.2811
2017-13,2017Q4,2,15,2,-0.5136,-0.362,-0.1516
2017-14,2017Q4,3,39,2,-0.1554,-0.362,0.2066
2018-03,2018Q1,1,23,2,-1.0128,0.016,-1.0288
2018-04,2018Q1,2,46,2,0.0714,0.016,0.0554
2018-05,2018Q1,3,56,2,0.2336,0.016,0.2176
2018-06,2018Q2,1,50,2,-0.1734,0.267,-0.4404
2018-07,2018Q2,2,37,2,0.6184,0.267,0.3514
2018-08,2018Q2,3,40,2,0.0729,0.267,-0.1941
2018-09,2018Q3,1,34,2,-0.8768,0.538,-1.4148
2018-10,2018Q3,2,32,2,0.62,0.538,0.082
2018-11,2018Q3,3,56,2,0.5157,0.538,-0.0223
2018-12,2018Q4,1,29,2,-0.1615,-0.317,0.1555
2018-13,2018Q4,2,36,2,-0.8543,-0.317,-0.5373
2018-14,2018Q4,3,19,2,-0.2768,-0.317,0.0402
2019-03,2019Q1,1,36,2,0.0365,-0.187,0.2235
2019-04,2019Q1,2,52,2,-0.8588,-0.187,-0.6718
2019-05,2019Q1,3,28,2,-0.4855,-0.187,-0.2985
2019-06,2019Q2,1,21,2,0.115,-0.036,0.151
2019-07,2019Q2,2,51,2,-0.2658,-0.036,-0.2298
2019-08,2019Q2,3,37,2,-0.7281,-0.036,-0.6921
2019-09,2019Q3,1,16,2,0.5451,0.619,-0.0739
2019-10,2019Q3,2,15,2,0.4218,0.619,-0.1972
2019-11,2019Q3,3,44,2,0.3835,0.619,-0.2355
2019-12,2019Q4,1,18,2,1.0608,0.196,0.8648
2019-13,2019Q4,2,29,2,0.7832,0.196,0.5872
2019-14,2019Q4,3,20,2,-0.1941,0.196,-0.3901
2020-03,2020Q1,1,24,2,-1.0105,-2.0,0.9895
2020-04,2020Q1,2,18,2,-1.8584,-2.0,0.1416
2020-05,2020Q1,3,19,2,-2.4128,-2.0,-0.4128
2020-06,2020Q2,1,28,2,-9.5107,-9.5,-0.0107
2020-07,2020Q2,2,53,2,-9.4668,-9.5,0.0332
2020-08,2020Q2,3,50,2,-9.9394,-9.5,-0.4394
2020-09,2020Q3,1,24,2,9.2705,8.7,0.5705
2020-10,2020Q3,2,22,2,8.6271,8.7,-0.0729
2020-11,2020Q3,3,34,2,8.2985,8.7,-0.4015
2020-12,2020Q4,1,33,2,0.1389,0.6,-0.4611
2020-13,2020Q4,2,57,2,0.8004,0.6,0.2004
2020-14,2020Q4,3,43,2,0.3411,0.6,-0.2589
2021-03,2021Q1,1,25,2,0.2697,0.121,0.1487
2021-04,2021Q1,2,55,2,-0.6144,0.121,-0.7354
2021-05,2021Q1,3,32,2,0.3038,0.121,0.1828
2021-06,2021Q2,1,43,2,-1.4253,-0.0,-1.4253
2021-07,2021Q2,2,33,2,-0.5591,-0.0,-0.5591
2021-08,2021Q2,3,25,2,0.0571,-0.0,0.0571
2021-09,2021Q3,1,19,2,0.3495,1.044,-0.6945
2021-10,2021Q3,2,32,2,0.8909,1.044,-0.1531
2021-11,2021Q3,3,58,2,1.2202,1.044,0.1762
2021-12,2021Q4,1,49,2,-0.249,0.196,-0.445
2021-13,2021Q4,2,32,2,-0.1459,0.196,-0.3419
2021-14,2021Q4,3,28,2,0.4718,0.196,0.2758
2022-03,2022Q1,1,55,2,0.2111,-0.052,0.2631
2022-04,2022Q1,2,21,2,0.902,-0.052,0.954
2022-05,2022Q1,3,51,2,0.0313,-0.052,0.0833
2022-06,2022Q2,1,30,2,0.4477,0.937,-0.4893
2022-07,2022Q2,2,17,2,0.9203,0.937,-0.0167
2022-08,2022Q2,3,20,2,0.5794,0.937,-0.3576
2022-09,2022Q3,1,20,2,-0.5471,-0.225,-0.3221
2022-10,2022Q3,2,47,2,-0.5435,-0.225,-0.3185
2022-11,2022Q3,3,49,2,0.1934,-0.225,0.4184
2022-12,2022Q4,1,51,2,-0.7342,-0.041,-0.6932
2022-13,2022Q4,2,15,2,0.3285,-0.041,0.3695
2022-14,2022Q4,3,46,2,0.2516,-0.041,0.2926
2023-03,2023Q1,1,17,2,-1.1782,-0.243,-0.9352
2023-04,2023Q1,2,32,2,-0.2305,-0.243,0.0125
2023-05,2023Q1,3,41,2,-0.8662,-0.243,-0.6232
2023-06,2023Q2,1,38,2,-1.1403,0.276,-1.4163
2023-07,2023Q2,2,29,2,-0.419,0.276,-0.695
2023-08,2023Q2,3,26,2,0.094,0.276,-0.182
2023-09,2023Q3,1,38,2,0.3895,0.25,0.1395
2023-10,2023Q3,2,48,2,-0.0478,0.25,-0.2978
2023-11,2023Q3,3,43,2,0.1377,0.25,-0.1123
2023-12,2023Q4,1,17,2,-0.3458,0.655,-1.0008
2023-13,2023Q4,2,28,2,1.2668,0.655,0.6118
2023-14,2023Q4,3,46,2,0.3024,0.655,-0.3526
2024-03,2024Q1,1,27,2,-0.553,0.921,-1.474
2024-04,2024Q1,2,30,2,1.9239,0.921,1.0029
2024-05,2024Q1,3,57,2,0.7376,0.921,-0.1834
2024-06,2024Q2,1,36,2,-1.5646,-0.215,-1.3496
2024-07,2024Q2,2,34,2,0.5306,-0.215,0.7456
2024-08,2024Q2,3,24,2,0.016,-0.215,0.231
2024-09,2024Q3,1,25,2,-0.8839,0.324,-1.2079
2024-10,2024Q3,2,55,2,0.0898,0.324,-0.2342
2024-11,2024Q3,3,25,2,0.3822,0.324,0.0582
2024-12,2024Q4,1,44,2,0.2066,0.469,-0.2624
2024-13,2024Q4,2,37,2,0.5121,0.469,0.0431
2024-14,2024Q4,3,41,2,0.2703,0.469,-0.1987
2025-03,2025Q1,1,28,2,0.1392,0.229,-0.0898
2025-04,2025Q1,2,15,2,0.8303,0.229,0.6013
2025-05,2025Q1,3,42,2,0.1103,0.229,-0.1187
2025-06,2025Q2,1,31,2,1.6658,0.084,1.5818
2025-07,2025Q2,2,36,2,0.2632,0.084,0.1792
2025-08,2025Q2,3,16,2,0.2975,0.084,0.2135
2025-09,2025Q3,1,55,2,0.6566,-0.305,0.9616
2025-10,2025Q3,2,23,2,-0.3899,-0.305,-0.0849
2025-11,2025Q3,3,27,2,-0.3695,-0.305,-0.0645
2025-12,2025Q4,1,19,2,-0.461,0.123,-0.584
2025-13,2025Q4,2,50,2,-0.0969,0.123,-0.2199
2025-14,2025Q4,3,38,2,0.2192,0.123,0.0962
