quarter,monthly_origin,month_in_quarter,n_indicators,k_factors,nowcast,actual,error,n_features,n_features_pre
2013Q2,2013-07,2,28,2,0.1701,0.134,0.0361,591,1731
2013Q2,2013-08,3,53,2,0.0823,0.134,-0.0517,563,1721
2013Q3,2013-09,1,23,2,-0.5488,-0.317,-0.2318,504,1779
2013Q3,2013-10,2,35,2,-0.2472,-0.317,0.0698,534,1766
2013Q3,2013-11,3,54,2,-0.2356,-0.317,0.0814,562,1729
2013Q4,2013-12,1,22,2,0.5463,0.585,-0.0387,507,1723
2013Q4,2013-13,2,20,2,0.8053,0.585,0.2203,587,1739
2013Q4,2013-14,3,19,2,0.7719,0.585,0.1869,596,1757
2014Q1,2014-03,1,23,2,2.2861,0.733,1.5531,507,1704
2014Q1,2014-04,2,50,2,1.5038,0.733,0.7708,575,1783
2014Q1,2014-05,3,52,2,0.7852,0.733,0.0522,579,1783
2014Q2,2014-06,1,24,2,0.9257,0.154,0.7717,536,1772
2014Q2,2014-07,2,53,2,-0.701,0.154,-0.855,535,1735
2014Q2,2014-08,3,47,2,-0.3425,0.154,-0.4965,502,1787
2014Q3,2014-09,1,57,2,-0.4324,0.381,-0.8134,508,1701
2014Q3,2014-10,2,15,2,0.1712,0.381,-0.2098,553,1704
2014Q3,2014-11,3,17,2,1.0012,0.381,0.6202,545,1707
2014Q4,2014-12,1,53,2,1.1414,0.599,0.5424,613,1751
2014Q4,2014-13,2,20,2,0.2337,0.599,-0.3653,540,1712
2014Q4,2014-14,3,31,2,1.0573,0.599,0.4583,585,1707
2015Q1,2015-03,1,35,2,-2.0119,0.034,-2.0459,585,1792
2015Q1,2015-04,2,47,2,-0.2843,0.034,-0.3183,613,1709
2015Q1,2015-05,3,34,2,0.331,0.034,0.297,547,1779
2015Q2,2015-06,1,59,2,0.5386,0.151,0.3876,546,1716
2015Q2,2015-07,2,58,2,-0.6063,0.151,-0.7573,589,1713
2015Q2,2015-08,3,40,2,0.1591,0.151,0.0081,527,1703
2015Q3,2015-09,1,23,2,0.6942,0.045,0.6492,549,1769
2015Q3,2015-10,2,19,2,0.0629,0.045,0.0179,601,1775
2015Q3,2015-11,3,33,2,-0.0537,0.045,-0.0987,512,1743
2015Q4,2015-12,1,22,2,-0.9388,0.42,-1.3588,533,1756
2015Q4,2015-13,2,29,2,-0.0171,0.42,-0.4371,577,1753
2015Q4,2015-14,3,33,2,0.1526,0.42,-0.2674,610,1799
2016Q1,2016-03,1,51,2,-0.3341,-0.032,-0.3021,544,1794
2016Q1,2016-04,2,38,2,1.2,-0.032,1.232,544,1730
2016Q1,2016-05,3,57,2,0.3521,-0.032,0.3841,618,1775
2016Q2,2016-06,1,50,2,-1.3442,-0.684,-0.6602,507,1765
2016Q2,2016-07,2,17,2,-1.2403,-0.684,-0.5563,571,1762
2016Q2,2016-08,3,45,2,-1.0035,-0.684,-0.3195,539,1750
2016Q3,2016-09,1,32,2,-0.917,0.025,-0.942,570,1726
2016Q3,2016-10,2,21,2,-0.786,0.025,-0.811,604,1764
2016Q3,2016-11,3,39,2,0.3758,0.025,0.3508,606,1724
2016Q4,2016-12,1,44,2,-0.3058,0.593,-0.8988,608,1793
2016Q4,2016-13,2,42,2,1.2509,0.593,0.6579,512,1758
2016Q4,2016-14,3,34,2,0.5442,0.593,-0.0488,579,1786
2017Q1,2017-03,1,41,2,-1.2109,-0.07,-1.1409,595,1724
2017Q1,2017-04,2,20,2,1.2031,-0.07,1.2731,544,1726
2017Q1,2017-05,3,59,2,-0.2705,-0.07,-0.2005,619,1756
2017Q2,2017-06,1,15,2,1.4317,0.767,0.6647,574,1700
2017Q2,2017-07,2,15,2,0.9295,0.767,0.1625,610,1778
2017Q2,2017-08,3,36,2,0.4879,0.767,-0.2791,569,1754
2017Q3,2017-09,1,47,2,0.3294,0.02,0.3094,577,1759
2017Q3,2017-10,2,33,2,-0.0314,0.02,-0.0514,512,1700
2017Q3,2017-11,3,21,2,-0.0047,0.02,-0.0247,599,1779
2017Q4,2017-12,1,40,2,-0.4906,-0.362,-0.1286,572,1796
2017Q4,2017-13,2,37,2,-0.9937,-0.362,-0.6317,564,1773
2017Q4,2017-14,3,59,2,-0.6321,-0.362,-0.2701,541,1758
2018Q1,2018-03,1,35,2,-0.1332,0.016,-0.1492,532,1722
2018Q1,2018-04,2,49,2,0.1654,0.016,0.1494,573,1713
2018Q1,2018-05,3,23,2,0.4187,0.016,0.4027,566,1783
2018Q2,2018-06,1,55,2,2.419,0.267,2.152,584,1791
2018Q2,2018-07,2,29,2,-0.3793,0.267,-0.6463,524,1729
2018Q2,2018-08,3,20,2,-0.0377,0.267,-0.3047,535,1756
2018Q3,2018-09,1,46,2,0.4619,0.538,-0.0761,558,1743
2018Q3,2018-10,2,35,2,0.4342,0.538,-0.1038,591,1742
2018Q3,2018-11,3,34,2,0.586,0.538,0.048,512,1775
2018Q4,2018-12,1,42,2,0.1726,-0.317,0.4896,532,1714
2018Q4,2018-13,2,45,2,0.6069,-0.317,0.9239,551,1731
2018Q4,2018-14,3,59,2,-0.335,-0.317,-0.018,535,1718
2019Q1,2019-03,1,18,2,-0.0291,-0.187,0.1579,596,1763
2019Q1,2019-04,2,57,2,0.3319,-0.187,0.5189,581,1796
2019Q1,2019-05,3,23,2,-0.4332,-0.187,-0.2462,619,1718
2019Q2,2019-06,1,35,2,1.7849,-0.036,1.8209,598,1748
2019Q2,2019-07,2,33,2,-0.0109,-0.036,0.0251,616,1724
2019Q2,2019-08,3,21,2,-0.181,-0.036,-0.145,533,1737
2019Q3,2019-09,1,58,2,0.8833,0.619,0.2643,596,1746
2019Q3,2019-10,2,38,2,0.1833,0.619,-0.4357,569,1780
2019Q3,2019-11,3,41,2,1.2009,0.619,0.5819,602,1761
2019Q4,2019-12,1,28,2,1.5273,0.196,1.3313,513,1781
2019Q4,2019-13,2,47,2,0.2184,0.196,0.0224,533,1746
2019Q4,2019-14,3,24,2,-0.3244,0.196,-0.5204,522,1791
2020Q1,2020-03,1,25,2,-1.3587,-2.0,0.6413,500,1755
2020Q1,2020-04,2,28,2,-1.2274,-2.0,0.7726,569,1748
2020Q1,2020-05,3,50,2,-2.3996,-2.0,-0.3996,611,1712
2020Q2,2020-06,1,21,2,-9.0833,-9.5,0.4167,520,1724
2020Q2,2020-07,2,51,2,-9.3173,-9.5,0.1827,559,1793
2020Q2,2020-08,3,36,2,-9.5289,-9.5,-0.0289,594,1770
2020Q3,2020-09,1,38,2,8.5557,8.7,-0.1443,504,1703
2020Q3,2020-10,2,16,2,8.6119,8.7,-0.0881,502,1748
2020Q3,2020-11,3,30,2,9.1076,8.7,0.4076,511,1736
2020Q4,2020-12,1,31,2,0.7217,0.6,0.1217,576,1794
2020Q4,2020-13,2,38,2,3.0087,0.6,2.4087,503,1753
2020Q4,2020-14,3,55,2,0.29,0.6,-0.31,554,1729
2021Q1,2021-03,1,32,2,0.7952,0.121,0.6742,532,1711
2021Q1,2021-04,2,58,2,0.1988,0.121,0.0778,574,1754
2021Q1,2021-05,3,31,2,-0.2175,0.121,-0.3385,609,1778
2021Q2,2021-06,1,54,2,1.9265,-0.0,1.9265,546,1710
2021Q2,2021-07,2,50,2,0.5864,-0.0,0.5864,603,1745
2021Q2,2021-08,3,49,2,0.2137,-0.0,0.2137,561,1724
2021Q3,2021-09,1,28,2,0.2223,1.044,-0.8217,571,1793
2021Q3,2021-10,2,52,2,0.7284,1.044,-0.3156,519,1737
2021Q3,2021-11,3,25,2,1.2447,1.044,0.2007,524,1762
2021Q4,2021-12,1,18,2,-1.9725,0.196,-2.1685,572,1762
2021Q4,2021-13,2,28,2,1.2793,0.196,1.0833,613,1736
2021Q4,2021-14,3,54,2,0.6148,0.196,0.4188,503,1764
2022Q1,2022-03,1,30,2,-0.0083,-0.052,0.0437,508,1796
2022Q1,2022-04,2,45,2,0.7198,-0.052,0.7718,576,1707
2022Q1,2022-05,3,18,2,-0.3262,-0.052,-0.2742,553,1722
2022Q2,2022-06,1,16,2,1.9816,0.937,1.0446,515,1733
2022Q2,2022-07,2,28,2,1.7178,0.937,0.7808,600,1728
2022Q2,2022-08,3,27,2,1.1313,0.937,0.1943,606,1782
2022Q3,2022-09,1,57,2,-0.5549,-0.225,-0.3299,613,1716
2022Q3,2022-10,2,46,2,-0.6166,-0.225,-0.3916,592,1780
2022Q3,2022-11,3,55,2,-0.6137,-0.225,-0.3887,609,1715
2022Q4,2022-12,1,38,2,-0.7346,-0.041,-0.6936,516,1732
2022Q4,2022-13,2,41,2,0.4925,-0.041,0.5335,582,1723
2022Q4,2022-14,3,30,2,-0.2468,-0.041,-0.2058,603,1777
2023Q1,2023-03,1,29,2,0.1401,-0.243,0.3831,529,1757
2023Q1,2023-04,2,35,2,-0.0826,-0.243,0.1604,569,1733
2023Q1,2023-05,3,22,2,-0.4801,-0.243,-0.2371,605,1766
2023Q2,2023-06,1,50,2,0.1222,0.276,-0.1538,537,1750
2023Q2,2023-07,2,47,2,0.2131,0.276,-0.0629,579,1772
2023Q2,2023-08,3,25,2,0.6348,0.276,0.3588,558,1742
2023Q3,2023-09,1,56,2,-0.1743,0.25,-0.4243,605,1726
2023Q3,2023-10,2,43,2,-0.0924,0.25,-0.3424,582,1779
2023Q3,2023-11,3,46,2,0.6811,0.25,0.4311,500,1791
2023Q4,2023-12,1,55,2,2.7893,0.655,2.1343,608,1714
2023Q4,2023-13,2,51,2,0.4181,0.655,-0.2369,577,1728
2023Q4,2023-14,3,39,2,0.5962,0.655,-0.0588,588,1765
2024Q1,2024-03,1,24,2,0.1865,0.921,-0.7345,576,1706
2024Q1,2024-04,2,21,2,1.0517,0.921,0.1307,525,1793
2024Q1,2024-05,3,42,2,1.1486,0.921,0.2276,506,1766
2024Q2,2024-06,1,35,2,1.4538,-0.215,1.6688,587,1718
2024Q2,2024-07,2,48,2,-0.2309,-0.215,-0.0159,556,1767
2024Q2,2024-08,3,45,2,-0.2162,-0.215,-0.0012,543,1788
2024Q3,2024-09,1,49,2,0.5063,0.324,0.1823,562,1702
2024Q3,2024-10,2,35,2,0.6425,0.324,0.3185,530,1717
2024Q3,2024-11,3,41,2,0.4422,0.324,0.1182,559,1747
2024Q4,2024-12,1,57,2,0.6449,0.469,0.1759,561,1754
2024Q4,2024-13,2,31,2,1.6649,0.469,1.1959,566,1714
2024Q4,2024-14,3,54,2,0.0463,0.469,-0.4227,520,1762
2025Q1,2025-03,1,48,2,0.5709,0.229,0.3419,568,1703
2025Q1,2025-04,2,16,2,0.5636,0.229,0.3346,595,1756
2025Q1,2025-05,3,19,2,0.3579,0.229,0.1289,605,1789
2025Q2,2025-06,1,19,2,-0.765,0.084,-0.849,528,1798
2025Q2,2025-07,2,19,2,-0.5024,0.084,-0.5864,608,1747
2025Q2,2025-08,3,25,2,0.1309,0.084,0.0469,519,1758
2025Q3,2025-09,1,36,2,0.8198,-0.305,1.1248,537,1795
2025Q3,2025-10,2,32,2,0.1688,-0.305,0.4738,572,1755
2025Q3,2025-11,3,34,2,-0.2474,-0.305,0.0576,542,1735
2025Q4,2025-12,1,26,2,1.029,0.123,0.906,502,1754
2025Q4,2025-13,2,48,2,-0.1894,0.123,-0.3124,574,1770
2025Q4,2025-14,3,21,2,0.5437,0.123,0.4207,522,1748
