monthly_origin,quarter,month_in_quarter,n_indicators,k_factors,nowcast,actual,error
2014-14,2014Q4,3,59,2,0.3064,0.599,-0.2926
2015-03,2015Q1,1,35,2,0.6129,0.034,0.5789
2015-04,2015Q1,2,54,2,-0.0056,0.034,-0.0396
2015-05,2015Q1,3,15,2,0.4945,0.034,0.4605
2015-06,2015Q2,1,33,2,-1.2224,0.151,-1.3734
2015-07,2015Q2,2,31,2,0.1256,0.151,-0.0254
2015-08,2015Q2,3,34,2,-0.0353,0.151,-0.1863
2015-09,2015Q3,1,45,2,-0.9207,0.045,-0.9657
2015-10,2015Q3,2,52,2,0.494,0.045,0.449
2015-11,2015Q3,3,54,2,-0.1481,0.045,-0.1931
2015-12,2015Q4,1,42,2,-0.4267,0.42,-0.8467
2015-13,2015Q4,2,59,2,0.5603,0.42,0.1403
2015-14,2015Q4,3,16,2,0.4191,0.42,-0.0009
2016-03,2016Q1,1,30,2,-0.1173,-0.032,-0.0853
2016-04,2016Q1,2,23,2,0.3431,-0.032,0.3751
2016-05,2016Q1,3,56,2,-0.2209,-0.032,-0.1889
2016-06,2016Q2,1,21,2,0.1673,-0.684,0.8513
2016-07,2016Q2,2,29,2,-0.9709,-0.684,-0.2869
2016-08,2016Q2,3,27,2,-0.3202,-0.684,0.3638
2016-09,2016Q3,1,55,2,0.2653,0.025,0.2403
2016-10,2016Q3,2,42,2,0.0475,0.025,0.0225
2016-11,2016Q3,3,21,2,0.2026,0.025,0.1776
2016-12,2016Q4,1,57,2,-1.6597,0.593,-2.2527
2016-13,2016Q4,2,33,2,1.0961,0.593,0.5031
2016-14,2016Q4,3,57,2,0.2505,0.593,-0.3425
2017-03,2017Q1,1,54,2,-0.5919,-0.07,-0.5219
2017-04,2017Q1,2,37,2,-0.0967,-0.07,-0.0267
2017-05,2017Q1,3,34,2,-0.2776,-0.07,-0.2076
2017-06,2017Q2,1,23,2,-0.8158,0.767,-1.5828
2017-07,2017Q2,2,56,2,1.225,0.767,0.458
2017-08,2017Q2,3,54,2,0.9524,0.767,0.1854
2017-09,2017Q3,1,56,2,1.2478,0.02,1.2278
2017-10,2017Q3,2,58,2,-0.0748,0.02,-0.0948
2017-11,2017Q3,3,19,2,0.2235,0.02,0.2035
2017-12,2017Q4,1,37,2,1.1475,-0.362,1.5095
2017-13,2017Q4,2,32,2,-1.0079,-0.362,-0.6459
2017-14,2017Q4,3,51,2,-0.5807,-0.362,-0.2187
2018-03,2018Q1,1,58,2,0.1635,0.016,0.1475
2018-04,2018Q1,2,31,2,0.0431,0.016,0.0271
2018-05,2018Q1,3,26,2,-0.1024,0.016,-0.1184
2018-06,2018Q2,1,38,2,-0.1671,0.267,-0.4341
2018-07,2018Q2,2,39,2,1.2948,0.267,1.0278
2018-08,2018Q2,3,33,2,-0.144,0.267,-0.411
2018-09,2018Q3,1,52,2,1.9193,0.538,1.3813
2018-10,2018Q3,2,16,2,0.0331,0.538,-0.5049
2018-11,2018Q3,3,41,2,0.8281,0.538,0.2901
2018-12,2018Q4,1,46,2,-1.7062,-0.317,-1.3892
2018-13,2018Q4,2,28,2,-0.7034,-0.317,-0.3864
2018-14,2018Q4,3,51,2,-0.215,-0.317,0.102
2019-03,2019Q1,1,16,2,1.8945,-0.187,2.0815
2019-04,2019Q1,2,32,2,-0.774,-0.187,-0.587
2019-05,2019Q1,3,52,2,-0.2422,-0.187,-0.0552
2019-06,2019Q2,1,36,2,1.3236,-0.036,1.3596
2019-07,2019Q2,2,51,2,-0.1068,-0.036,-0.0708
2019-08,2019Q2,3,54,2,0.1608,-0.036,0.1968
2019-09,2019Q3,1,25,2,-0.9199,0.619,-1.5389
2019-10,2019Q3,2,57,2,0.1575,0.619,-0.4615
2019-11,2019Q3,3,22,2,0.6087,0.619,-0.0103
2019-12,2019Q4,1,49,2,1.3171,0.196,1.1211
2019-13,2019Q4,2,40,2,0.478,0.196,0.282
2019-14,2019Q4,3,17,2,0.1903,0.196,-0.0057
2020-03,2020Q1,1,15,2,-2.9295,-2.0,-0.9295
2020-04,2020Q1,2,42,2,-1.785,-2.0,0.215
2020-05,2020Q1,3,36,2,-1.4879,-2.0,0.5121
2020-06,2020Q2,1,34,2,-8.5177,-9.5,0.9823
2020-07,2020Q2,2,55,2,-10.0558,-9.5,-0.5558
2020-08,2020Q2,3,43,2,-8.9929,-9.5,0.5071
2020-09,2020Q3,1,28,2,9.1153,8.7,0.4153
2020-10,2020Q3,2,48,2,8.0984,8.7,-0.6016
2020-11,2020Q3,3,22,2,8.5422,8.7,-0.1578
2020-12,2020Q4,1,31,2,1.7112,0.6,1.1112
2020-13,2020Q4,2,39,2,1.3505,0.6,0.7505
2020-14,2020Q4,3,42,2,0.52,0.6,-0.08
2021-03,2021Q1,1,25,2,-1.2035,0.121,-1.3245
2021-04,2021Q1,2,33,2,-0.5134,0.121,-0.6344
2021-05,2021Q1,3,37,2,0.292,0.121,0.171
2021-06,2021Q2,1,18,2,0.3911,-0.0,0.3911
2021-07,2021Q2,2,51,2,-0.0851,-0.0,-0.0851
2021-08,2021Q2,3,45,2,0.233,-0.0,0.233
2021-09,2021Q3,1,33,2,2.0378,1.044,0.9938
2021-10,2021Q3,2,32,2,0.6235,1.044,-0.4205
2021-11,2021Q3,3,53,2,1.3423,1.044,0.2983
2021-12,2021Q4,1,57,2,-0.5716,0.196,-0.7676
2021-13,2021Q4,2,15,2,0.6812,0.196,0.4852
2021-14,2021Q4,3,39,2,-0.0454,0.196,-0.2414
2022-03,2022Q1,1,23,2,-0.5938,-0.052,-0.5418
2022-04,2022Q1,2,19,2,0.0554,-0.052,0.1074
2022-05,2022Q1,3,22,2,-0.3783,-0.052,-0.3263
2022-06,2022Q2,1,47,2,0.0833,0.937,-0.8537
2022-07,2022Q2,2,35,2,1.2825,0.937,0.3455
2022-08,2022Q2,3,25,2,1.2334,0.937,0.2964
2022-09,2022Q3,1,50,2,0.3331,-0.225,0.5581
2022-10,2022Q3,2,31,2,-0.6519,-0.225,-0.4269
2022-11,2022Q3,3,48,2,-0.5042,-0.225,-0.2792
2022-12,2022Q4,1,52,2,0.8681,-0.041,0.9091
2022-13,2022Q4,2,18,2,0.2019,-0.041,0.2429
2022-14,2022Q4,3,28,2,0.0041,-0.041,0.0451
2023-03,2023Q1,1,39,2,-0.9217,-0.243,-0.6787
2023-04,2023Q1,2,45,2,-0.9195,-0.243,-0.6765
2023-05,2023Q1,3,37,2,-0.2436,-0.243,-0.0006
2023-06,2023Q2,1,17,2,0.1575,0.276,-0.1185
2023-07,2023Q2,2,57,2,0.4926,0.276,0.2166
2023-08,2023Q2,3,18,2,0.2344,0.276,-0.0416
2023-09,2023Q3,1,45,2,0.4147,0.25,0.1647
2023-10,2023Q3,2,59,2,-0.4959,0.25,-0.7459
2023-11,2023Q3,3,55,2,0.1135,0.25,-0.1365
2023-12,2023Q4,1,35,2,0.1144,0.655,-0.5406
2023-13,2023Q4,2,31,2,0.2241,0.655,-0.4309
2023-14,2023Q4,3,49,2,0.8691,0.655,0.2141
2024-03,2024Q1,1,49,2,-0.2168,0.921,-1.1378
2024-04,2024Q1,2,39,2,1.2667,0.921,0.3457
2024-05,2024Q1,3,28,2,0.8643,0.921,-0.0567
2024-06,2024Q2,1,57,2,-0.5291,-0.215,-0.3141
2024-07,2024Q2,2,44,2,-0.407,-0.215,-0.192
2024-08,2024Q2,3,58,2,-0.3409,-0.215,-0.1259
2024-09,2024Q3,1,31,2,0.4107,0.324,0.0867
2024-10,2024Q3,2,19,2,0.7706,0.324,0.4466
2024-11,2024Q3,3,49,2,0.6001,0.324,0.2761
2024-12,2024Q4,1,47,2,1.6098,0.469,1.1408
2024-13,2024Q4,2,56,2,0.855,0.469,0.386
2024-14,2024Q4,3,19,2,0.8822,0.469,0.4132
2025-03,2025Q1,1,42,2,1.0742,0.229,0.8452
2025-04,2025Q1,2,48,2,0.7464,0.229,0.5174
2025-05,2025Q1,3,57,2,-0.1095,0.229,-0.3385
2025-06,2025Q2,1,23,2,0.5058,0.084,0.4218
2025-07,2025Q2,2,19,2,0.1164,0.084,0.0324
2025-08,2025Q2,3,41,2,0.0805,0.084,-0.0035
2025-09,2025Q3,1,29,2,-0.5379,-0.305,-0.2329
2025-10,2025Q3,2,48,2,-0.291,-0.305,0.014
2025-11,2025Q3,3,51,2,-0.709,-0.305,-0.404
2025-12,2025Q4,1,50,2,-0.0348,0.123,-0.1578
2025-13,2025Q4,2,25,2,1.1995,0.123,1.0765
2025-14,2025Q4,3,27,2,-0.1415,0.123,-0.2645
