record_type,quarter,date,origin,n_indicators,factor,category,share,rank,id,name,loading,abs_loading
category,2012Q1,2012-03-31,2012-05,23,1,Misc,0.1163,,,,,
category,2012Q1,2012-03-31,2012-05,46,2,Production,0.1672,,,,,
category,2012Q1,2012-03-31,2012-05,56,2,Turnover,0.3113,,,,,
category,2012Q1,2012-03-31,2012-05,38,2,Orders,0.0868,,,,,
category,2012Q1,2012-03-31,2012-05,24,2,Surveys,0.0301,,,,,
category,2012Q1,2012-03-31,2012-05,45,2,Trade,0.0766,,,,,
category,2012Q1,2012-03-31,2012-05,31,2,Global,0.1937,,,,,
category,2012Q1,2012-03-31,2012-05,55,2,Misc,0.1343,,,,,
category,2012Q2,2012-06-30,2012-08,57,1,Production,0.0216,,,,,
category,2012Q2,2012-06-30,2012-08,45,1,Turnover,0.0332,,,,,
category,2012Q2,2012-06-30,2012-08,32,1,Orders,0.043,,,,,
category,2012Q2,2012-06-30,2012-08,22,1,Surveys,0.273,,,,,
category,2012Q2,2012-06-30,2012-08,55,1,Trade,0.1053,,,,,
category,2012Q2,2012-06-30,2012-08,21,1,Global,0.2192,,,,,
category,2012Q2,2012-06-30,2012-08,55,1,Misc,0.3046,,,,,
category,2012Q2,2012-06-30,2012-08,27,2,Production,0.1794,,,,,
category,2012Q2,2012-06-30,2012-08,40,2,Turnover,0.1019,,,,,
category,2012Q2,2012-06-30,2012-08,34,2,Orders,0.196,,,,,
category,2012Q2,2012-06-30,2012-08,53,2,Surveys,0.1538,,,,,
category,2012Q2,2012-06-30,2012-08,40,2,Trade,0.175,,,,,
category,2012Q2,2012-06-30,2012-08,42,2,Global,0.0711,,,,,
category,2012Q2,2012-06-30,2012-08,35,2,Misc,0.1228,,,,,
category,2012Q3,2012-09-30,2012-11,59,1,Production,0.0717,,,,,
category,2012Q3,2012-09-30,2012-11,58,1,Turnover,0.0357,,,,,
category,2012Q3,2012-09-30,2012-11,45,1,Orders,0.2346,,,,,
category,2012Q3,2012-09-30,2012-11,37,1,Surveys,0.0735,,,,,
category,2012Q3,2012-09-30,2012-11,20,1,Trade,0.018,,,,,
category,2012Q3,2012-09-30,2012-11,35,1,Global,0.2495,,,,,
category,2012Q3,2012-09-30,2012-11,35,1,Misc,0.3171,,,,,
category,2012Q3,2012-09-30,2012-11,36,2,Production,0.0538,,,,,
category,2012Q3,2012-09-30,2012-11,21,2,Turnover,0.1797,,,,,
category,2012Q3,2012-09-30,2012-11,22,2,Orders,0.0869,,,,,
category,2012Q3,2012-09-30,2012-11,36,2,Surveys,0.1381,,,,,
category,2012Q3,2012-09-30,2012-11,36,2,Trade,0.1076,,,,,
category,2012Q3,2012-09-30,2012-11,45,2,Global,0.2285,,,,,
category,2012Q3,2012-09-30,2012-11,47,2,Misc,0.2055,,,,,
category,2012Q4,2012-12-31,2012-14,20,1,Production,0.0501,,,,,
category,2012Q4,2012-12-31,2012-14,24,1,Turnover,0.0843,,,,,
category,2012Q4,2012-12-31,2012-14,38,1,Orders,0.2023,,,,,
category,2012Q4,2012-12-31,2012-14,34,1,Surveys,0.129,,,,,
category,2012Q4,2012-12-31,2012-14,58,1,Trade,0.3235,,,,,
category,2012Q4,2012-12-31,2012-14,45,1,Global,0.1532,,,,,
category,2012Q4,2012-12-31,2012-14,43,1,Misc,0.0576,,,,,
category,2012Q4,2012-12-31,2012-14,54,2,Production,0.1569,,,,,
category,2012Q4,2012-12-31,2012-14,25,2,Turnover,0.0536,,,,,
category,2012Q4,2012-12-31,2012-14,20,2,Orders,0.0199,,,,,
category,2012Q4,2012-12-31,2012-14,43,2,Surveys,0.0434,,,,,
category,2012Q4,2012-12-31,2012-14,26,2,Trade,0.3418,,,,,
category,2012Q4,2012-12-31,2012-14,47,2,Global,0.1176,,,,,
category,2012Q4,2012-12-31,2012-14,34,2,Misc,0.2669,,,,,
category,2013Q1,2013-03-31,2013-05,59,1,Production,0.5067,,,,,
category,2013Q1,2013-03-31,2013-05,48,1,Turnover,0.0836,,,,,
category,2013Q1,2013-03-31,2013-05,23,1,Orders,0.2134,,,,,
category,2013Q1,2013-03-31,2013-05,50,1,Surveys,0.0647,,,,,
category,2013Q1,2013-03-31,2013-05,49,1,Trade,0.0429,,,,,
category,2013Q1,2013-03-31,2013-05,49,1,Global,0.0807,,,,,
category,2013Q1,2013-03-31,2013-05,45,1,Misc,0.0079,,,,,
category,2013Q1,2013-03-31,2013-05,26,2,Production,0.5383,,,,,
category,2013Q1,2013-03-31,2013-05,45,2,Turnover,0.0654,,,,,
category,2013Q1,2013-03-31,2013-05,21,2,Orders,0.0691,,,,,
category,2013Q1,2013-03-31,2013-05,31,2,Surveys,0.1138,,,,,
category,2013Q1,2013-03-31,2013-05,32,2,Trade,0.1097,,,,,
category,2013Q1,2013-03-31,2013-05,48,2,Global,0.0337,,,,,
category,2013Q1,2013-03-31,2013-05,45,2,Misc,0.07,,,,,
category,2013Q2,2013-06-30,2013-08,33,1,Production,0.1866,,,,,
category,2013Q2,2013-06-30,2013-08,41,1,Turnover,0.2131,,,,,
category,2013Q2,2013-06-30,2013-08,37,1,Orders,0.0238,,,,,
category,2013Q2,2013-06-30,2013-08,35,1,Surveys,0.1813,,,,,
category,2013Q2,2013-06-30,2013-08,26,1,Trade,0.0527,,,,,
category,2013Q2,2013-06-30,2013-08,29,1,Global,0.1407,,,,,
category,2013Q2,2013-06-30,2013-08,37,1,Misc,0.2019,,,,,
category,2013Q2,2013-06-30,2013-08,23,2,Production,0.0783,,,,,
category,2013Q2,2013-06-30,2013-08,52,2,Turnover,0.1676,,,,,
category,2013Q2,2013-06-30,2013-08,40,2,Orders,0.2429,,,,,
category,2013Q2,2013-06-30,2013-08,26,2,Surveys,0.3702,,,,,
category,2013Q2,2013-06-30,2013-08,28,2,Trade,0.029,,,,,
category,2013Q2,2013-06-30,2013-08,52,2,Global,0.0145,,,,,
category,2013Q2,2013-06-30,2013-08,29,2,Misc,0.0974,,,,,
category,2013Q3,2013-09-30,2013-11,23,1,Production,0.3877,,,,,
category,2013Q3,2013-09-30,2013-11,57,1,Turnover,0.1507,,,,,
category,2013Q3,2013-09-30,2013-11,35,1,Orders,0.008,,,,,
category,2013Q3,2013-09-30,2013-11,46,1,Surveys,0.0223,,,,,
category,2013Q3,2013-09-30,2013-11,39,1,Trade,0.3272,,,,,
category,2013Q3,2013-09-30,2013-11,51,1,Global,0.094,,,,,
category,2013Q3,2013-09-30,2013-11,57,1,Misc,0.0101,,,,,
category,2013Q3,2013-09-30,2013-11,56,2,Production,0.2135,,,,,
category,2013Q3,2013-09-30,2013-11,45,2,Turnover,0.2148,,,,,
category,2013Q3,2013-09-30,2013-11,42,2,Orders,0.2623,,,,,
category,2013Q3,2013-09-30,2013-11,55,2,Surveys,0.1912,,,,,
category,2013Q3,2013-09-30,2013-11,58,2,Trade,0.1131,,,,,
category,2013Q3,2013-09-30,2013-11,21,2,Global,0.002,,,,,
category,2013Q3,2013-09-30,2013-11,22,2,Misc,0.0031,,,,,
category,2013Q4,2013-12-31,2013-14,58,1,Production,0.0584,,,,,
category,2013Q4,2013-12-31,2013-14,35,1,Turnover,0.1162,,,,,
category,2013Q4,2013-12-31,2013-14,33,1,Orders,0.0263,,,,,
category,2013Q4,2013-12-31,2013-14,20,1,Surveys,0.1002,,,,,
category,2013Q4,2013-12-31,2013-14,37,1,Trade,0.1812,,,,,
category,2013Q4,2013-12-31,2013-14,33,1,Global,0.155,,,,,
category,2013Q4,2013-12-31,2013-14,40,1,Misc,0.3627,,,,,
category,2013Q4,2013-12-31,2013-14,24,2,Production,0.0574,,,,,
category,2013Q4,2013-12-31,2013-14,59,2,Turnover,0.1791,,,,,
category,2013Q4,2013-12-31,2013-14,53,2,Orders,0.1302,,,,,
category,2013Q4,2013-12-31,2013-14,44,2,Surveys,0.1216,,,,,
category,2013Q4,2013-12-31,2013-14,57,2,Trade,0.258,,,,,
category,2013Q4,2013-12-31,2013-14,45,2,Global,0.0132,,,,,
category,2013Q4,2013-12-31,2013-14,54,2,Misc,0.2405,,,,,
category,2014Q1,2014-03-31,2014-05,57,1,Production,0.2089,,,,,
category,2014Q1,2014-03-31,2014-05,26,1,Turnover,0.1549,,,,,
category,2014Q1,2014-03-31,2014-05,37,1,Orders,0.2906,,,,,
category,2014Q1,2014-03-31,2014-05,25,1,Surveys,0.0165,,,,,
category,2014Q1,2014-03-31,2014-05,56,1,Trade,0.1493,,,,,
category,2014Q1,2014-03-31,2014-05,22,1,Global,0.0038,,,,,
category,2014Q1,2014-03-31,2014-05,54,1,Misc,0.1761,,,,,
category,2014Q1,2014-03-31,2014-05,43,2,Production,0.1462,,,,,
category,2014Q1,2014-03-31,2014-05,24,2,Turnover,0.1077,,,,,
category,2014Q1,2014-03-31,2014-05,58,2,Orders,0.0246,,,,,
category,2014Q1,2014-03-31,2014-05,29,2,Surveys,0.0353,,,,,
category,2014Q1,2014-03-31,2014-05,21,2,Trade,0.5987,,,,,
category,2014Q1,2014-03-31,2014-05,20,2,Global,0.0194,,,,,
category,2014Q1,2014-03-31,2014-05,21,2,Misc,0.0681,,,,,
category,2014Q2,2014-06-30,2014-08,31,1,Production,0.1944,,,,,
category,2014Q2,2014-06-30,2014-08,45,1,Turnover,0.1785,,,,,
category,2014Q2,2014-06-30,2014-08,27,1,Orders,0.0301,,,,,
category,2014Q2,2014-06-30,2014-08,24,1,Surveys,0.0859,,,,,
category,2014Q2,2014-06-30,2014-08,31,1,Trade,0.4184,,,,,
category,2014Q2,2014-06-30,2014-08,51,1,Global,0.0238,,,,,
category,2014Q2,2014-06-30,2014-08,31,1,Misc,0.0689,,,,,
category,2014Q2,2014-06-30,2014-08,35,2,Production,0.121,,,,,
category,2014Q2,2014-06-30,2014-08,25,2,Turnover,0.1284,,,,,
category,2014Q2,2014-06-30,2014-08,20,2,Orders,0.0293,,,,,
category,2014Q2,2014-06-30,2014-08,51,2,Surveys,0.136,,,,,
category,2014Q2,2014-06-30,2014-08,41,2,Trade,0.0678,,,,,
category,2014Q2,2014-06-30,2014-08,55,2,Global,0.2084,,,,,
category,2014Q2,2014-06-30,2014-08,51,2,Misc,0.3091,,,,,
category,2014Q3,2014-09-30,2014-11,54,1,Production,0.1312,,,,,
category,2014Q3,2014-09-30,2014-11,34,1,Turnover,0.2343,,,,,
category,2014Q3,2014-09-30,2014-11,52,1,Orders,0.1218,,,,,
category,2014Q3,2014-09-30,2014-11,23,1,Surveys,0.4062,,,,,
category,2014Q3,2014-09-30,2014-11,22,1,Trade,0.0363,,,,,
category,2014Q3,2014-09-30,2014-11,25,1,Global,0.0099,,,,,
category,2014Q3,2014-09-30,2014-11,54,1,Misc,0.0604,,,,,
category,2014Q3,2014-09-30,2014-11,33,2,Production,0.0079,,,,,
category,2014Q3,2014-09-30,2014-11,56,2,Turnover,0.0333,,,,,
category,2014Q3,2014-09-30,2014-11,58,2,Orders,0.0032,,,,,
category,2014Q3,2014-09-30,2014-11,47,2,Surveys,0.3396,,,,,
category,2014Q3,2014-09-30,2014-11,20,2,Trade,0.0286,,,,,
category,2014Q3,2014-09-30,2014-11,59,2,Global,0.1354,,,,,
category,2014Q3,2014-09-30,2014-11,57,2,Misc,0.452,,,,,
category,2014Q4,2014-12-31,2014-14,37,1,Production,0.1328,,,,,
category,2014Q4,2014-12-31,2014-14,35,1,Turnover,0.033,,,,,
category,2014Q4,2014-12-31,2014-14,20,1,Orders,0.513,,,,,
category,2014Q4,2014-12-31,2014-14,25,1,Surveys,0.1517,,,,,
category,2014Q4,2014-12-31,2014-14,33,1,Trade,0.1204,,,,,
category,2014Q4,2014-12-31,2014-14,22,1,Global,0.046,,,,,
category,2014Q4,2014-12-31,2014-14,21,1,Misc,0.0031,,,,,
category,2014Q4,2014-12-31,2014-14,36,2,Production,0.0669,,,,,
category,2014Q4,2014-12-31,2014-14,54,2,Turnover,0.0314,,,,,
category,2014Q4,2014-12-31,2014-14,38,2,Orders,0.2375,,,,,
category,2014Q4,2014-12-31,2014-14,23,2,Surveys,0.0943,,,,,
category,2014Q4,2014-12-31,2014-14,21,2,Trade,0.2093,,,,,
category,2014Q4,2014-12-31,2014-14,56,2,Global,0.3528,,,,,
category,2014Q4,2014-12-31,2014-14,34,2,Misc,0.0077,,,,,
category,2015Q1,2015-03-31,2015-05,48,1,Production,0.187,,,,,
category,2015Q1,2015-03-31,2015-05,36,1,Turnover,0.5326,,,,,
category,2015Q1,2015-03-31,2015-05,26,1,Orders,0.1116,,,,,
category,2015Q1,2015-03-31,2015-05,39,1,Surveys,0.0346,,,,,
category,2015Q1,2015-03-31,2015-05,27,1,Trade,0.0871,,,,,
category,2015Q1,2015-03-31,2015-05,26,1,Global,0.0201,,,,,
category,2015Q1,2015-03-31,2015-05,38,1,Misc,0.027,,,,,
category,2015Q1,2015-03-31,2015-05,58,2,Production,0.3119,,,,,
category,2015Q1,2015-03-31,2015-05,40,2,Turnover,0.1816,,,,,
category,2015Q1,2015-03-31,2015-05,36,2,Orders,0.1358,,,,,
category,2015Q1,2015-03-31,2015-05,23,2,Surveys,0.1232,,,,,
category,2015Q1,2015-03-31,2015-05,30,2,Trade,0.0876,,,,,
category,2015Q1,2015-03-31,2015-05,25,2,Global,0.0633,,,,,
category,2015Q1,2015-03-31,2015-05,21,2,Misc,0.0967,,,,,
category,2015Q2,2015-06-30,2015-08,32,1,Production,0.2415,,,,,
category,2015Q2,2015-06-30,2015-08,36,1,Turnover,0.2216,,,,,
category,2015Q2,2015-06-30,2015-08,34,1,Orders,0.3601,,,,,
category,2015Q2,2015-06-30,2015-08,31,1,Surveys,0.0003,,,,,
category,2015Q2,2015-06-30,2015-08,20,1,Trade,0.0746,,,,,
category,2015Q2,2015-06-30,2015-08,26,1,Global,0.0633,,,,,
category,2015Q2,2015-06-30,2015-08,25,1,Misc,0.0387,,,,,
category,2015Q2,2015-06-30,2015-08,21,2,Production,0.0152,,,,,
category,2015Q2,2015-06-30,2015-08,32,2,Turnover,0.1088,,,,,
category,2015Q2,2015-06-30,2015-08,25,2,Orders,0.1865,,,,,
category,2015Q2,2015-06-30,2015-08,38,2,Surveys,0.2626,,,,,
category,2015Q2,2015-06-30,2015-08,43,2,Trade,0.0864,,,,,
category,2015Q2,2015-06-30,2015-08,34,2,Global,0.3279,,,,,
category,2015Q2,2015-06-30,2015-08,34,2,Misc,0.0126,,,,,
category,2015Q3,2015-09-30,2015-11,49,1,Production,0.017,,,,,
category,2015Q3,2015-09-30,2015-11,47,1,Turnover,0.0562,,,,,
category,2015Q3,2015-09-30,2015-11,20,1,Orders,0.1715,,,,,
category,2015Q3,2015-09-30,2015-11,44,1,Surveys,0.3522,,,,,
category,2015Q3,2015-09-30,2015-11,34,1,Trade,0.351,,,,,
category,2015Q3,2015-09-30,2015-11,23,1,Global,0.013,,,,,
category,2015Q3,2015-09-30,2015-11,21,1,Misc,0.0391,,,,,
category,2015Q3,2015-09-30,2015-11,21,2,Production,0.1691,,,,,
category,2015Q3,2015-09-30,2015-11,42,2,Turnover,0.0534,,,,,
category,2015Q3,2015-09-30,2015-11,47,2,Orders,0.1363,,,,,
category,2015Q3,2015-09-30,2015-11,48,2,Surveys,0.2681,,,,,
category,2015Q3,2015-09-30,2015-11,59,2,Trade,0.1298,,,,,
category,2015Q3,2015-09-30,2015-11,31,2,Global,0.1006,,,,,
category,2015Q3,2015-09-30,2015-11,21,2,Misc,0.1427,,,,,
category,2015Q4,2015-12-31,2015-14,43,1,Production,0.0862,,,,,
category,2015Q4,2015-12-31,2015-14,44,1,Turnover,0.1275,,,,,
category,2015Q4,2015-12-31,2015-14,26,1,Orders,0.3779,,,,,
category,2015Q4,2015-12-31,2015-14,20,1,Surveys,0.0872,,,,,
category,2015Q4,2015-12-31,2015-14,28,1,Trade,0.2052,,,,,
category,2015Q4,2015-12-31,2015-14,31,1,Global,0.0273,,,,,
category,2015Q4,2015-12-31,2015-14,36,1,Misc,0.0886,,,,,
category,2015Q4,2015-12-31,2015-14,50,2,Production,0.2516,,,,,
category,2015Q4,2015-12-31,2015-14,28,2,Turnover,0.3534,,,,,
category,2015Q4,2015-12-31,2015-14,56,2,Orders,0.045,,,,,
category,2015Q4,2015-12-31,2015-14,45,2,Surveys,0.0986,,,,,
category,2015Q4,2015-12-31,2015-14,31,2,Trade,0.0758,,,,,
category,2015Q4,2015-12-31,2015-14,26,2,Global,0.0235,,,,,
category,2015Q4,2015-12-31,2015-14,58,2,Misc,0.1521,,,,,
category,2016Q1,2016-03-31,2016-05,20,1,Production,0.1344,,,,,
category,2016Q1,2016-03-31,2016-05,20,1,Turnover,0.0444,,,,,
category,2016Q1,2016-03-31,2016-05,51,1,Orders,0.0907,,,,,
category,2016Q1,2016-03-31,2016-05,39,1,Surveys,0.3619,,,,,
category,2016Q1,2016-03-31,2016-05,27,1,Trade,0.0513,,,,,
category,2016Q1,2016-03-31,2016-05,20,1,Global,0.0761,,,,,
category,2016Q1,2016-03-31,2016-05,23,1,Misc,0.2412,,,,,
category,2016Q1,2016-03-31,2016-05,32,2,Production,0.0403,,,,,
category,2016Q1,2016-03-31,2016-05,58,2,Turnover,0.219,,,,,
category,2016Q1,2016-03-31,2016-05,39,2,Orders,0.0097,,,,,
category,2016Q1,2016-03-31,2016-05,38,2,Surveys,0.1088,,,,,
category,2016Q1,2016-03-31,2016-05,24,2,Trade,0.1436,,,,,
category,2016Q1,2016-03-31,2016-05,32,2,Global,0.4225,,,,,
category,2016Q1,2016-03-31,2016-05,32,2,Misc,0.056,,,,,
category,2016Q2,2016-06-30,2016-08,26,1,Production,0.0067,,,,,
category,2016Q2,2016-06-30,2016-08,31,1,Turnover,0.3303,,,,,
category,2016Q2,2016-06-30,2016-08,57,1,Orders,0.1944,,,,,
category,2016Q2,2016-06-30,2016-08,52,1,Surveys,0.0364,,,,,
category,2016Q2,2016-06-30,2016-08,21,1,Trade,0.1882,,,,,
category,2016Q2,2016-06-30,2016-08,52,1,Global,0.1624,,,,,
category,2016Q2,2016-06-30,2016-08,22,1,Misc,0.0817,,,,,
category,2016Q2,2016-06-30,2016-08,20,2,Production,0.106,,,,,
category,2016Q2,2016-06-30,2016-08,56,2,Turnover,0.3223,,,,,
category,2016Q2,2016-06-30,2016-08,24,2,Orders,0.0769,,,,,
category,2016Q2,2016-06-30,2016-08,22,2,Surveys,0.1193,,,,,
category,2016Q2,2016-06-30,2016-08,48,2,Trade,0.0494,,,,,
category,2016Q2,2016-06-30,2016-08,21,2,Global,0.0523,,,,,
category,2016Q2,2016-06-30,2016-08,29,2,Misc,0.2737,,,,,
category,2016Q3,2016-09-30,2016-11,20,1,Production,0.0228,,,,,
category,2016Q3,2016-09-30,2016-11,38,1,Turnover,0.2333,,,,,
category,2016Q3,2016-09-30,2016-11,27,1,Orders,0.1369,,,,,
category,2016Q3,2016-09-30,2016-11,57,1,Surveys,0.0226,,,,,
category,2016Q3,2016-09-30,2016-11,54,1,Trade,0.2472,,,,,
category,2016Q3,2016-09-30,2016-11,42,1,Global,0.1116,,,,,
category,2016Q3,2016-09-30,2016-11,28,1,Misc,0.2256,,,,,
category,2016Q3,2016-09-30,2016-11,22,2,Production,0.0822,,,,,
category,2016Q3,2016-09-30,2016-11,43,2,Turnover,0.0525,,,,,
category,2016Q3,2016-09-30,2016-11,50,2,Orders,0.0009,,,,,
category,2016Q3,2016-09-30,2016-11,29,2,Surveys,0.084,,,,,
category,2016Q3,2016-09-30,2016-11,55,2,Trade,0.4749,,,,,
category,2016Q3,2016-09-30,2016-11,38,2,Global,0.0149,,,,,
category,2016Q3,2016-09-30,2016-11,50,2,Misc,0.2907,,,,,
category,2016Q4,2016-12-31,2016-14,41,1,Production,0.3692,,,,,
category,2016Q4,2016-12-31,2016-14,34,1,Turnover,0.0513,,,,,
category,2016Q4,2016-12-31,2016-14,49,1,Orders,0.0751,,,,,
category,2016Q4,2016-12-31,2016-14,50,1,Surveys,0.3147,,,,,
category,2016Q4,2016-12-31,2016-14,33,1,Trade,0.0395,,,,,
category,2016Q4,2016-12-31,2016-14,45,1,Global,0.0436,,,,,
category,2016Q4,2016-12-31,2016-14,24,1,Misc,0.1066,,,,,
category,2016Q4,2016-12-31,2016-14,32,2,Production,0.0312,,,,,
category,2016Q4,2016-12-31,2016-14,28,2,Turnover,0.0659,,,,,
category,2016Q4,2016-12-31,2016-14,27,2,Orders,0.0243,,,,,
category,2016Q4,2016-12-31,2016-14,32,2,Surveys,0.0076,,,,,
category,2016Q4,2016-12-31,2016-14,56,2,Trade,0.3206,,,,,
category,2016Q4,2016-12-31,2016-14,45,2,Global,0.1553,,,,,
category,2016Q4,2016-12-31,2016-14,33,2,Misc,0.3951,,,,,
category,2017Q1,2017-03-31,2017-05,59,1,Production,0.0324,,,,,
category,2017Q1,2017-03-31,2017-05,55,1,Turnover,0.1215,,,,,
category,2017Q1,2017-03-31,2017-05,39,1,Orders,0.1038,,,,,
category,2017Q1,2017-03-31,2017-05,23,1,Surveys,0.24,,,,,
category,2017Q1,2017-03-31,2017-05,58,1,Trade,0.425,,,,,
category,2017Q1,2017-03-31,2017-05,28,1,Global,0.0133,,,,,
category,2017Q1,2017-03-31,2017-05,38,1,Misc,0.0641,,,,,
category,2017Q1,2017-03-31,2017-05,23,2,Production,0.1017,,,,,
category,2017Q1,2017-03-31,2017-05,24,2,Turnover,0.0712,,,,,
category,2017Q1,2017-03-31,2017-05,53,2,Orders,0.1221,,,,,
category,2017Q1,2017-03-31,2017-05,21,2,Surveys,0.2707,,,,,
category,2017Q1,2017-03-31,2017-05,52,2,Trade,0.2649,,,,,
category,2017Q1,2017-03-31,2017-05,26,2,Global,0.0808,,,,,
category,2017Q1,2017-03-31,2017-05,23,2,Misc,0.0886,,,,,
category,2017Q2,2017-06-30,2017-08,35,1,Production,0.278,,,,,
category,2017Q2,2017-06-30,2017-08,57,1,Turnover,0.0006,,,,,
category,2017Q2,2017-06-30,2017-08,28,1,Orders,0.238,,,,,
category,2017Q2,2017-06-30,2017-08,31,1,Surveys,0.1417,,,,,
category,2017Q2,2017-06-30,2017-08,45,1,Trade,0.0715,,,,,
category,2017Q2,2017-06-30,2017-08,33,1,Global,0.1435,,,,,
category,2017Q2,2017-06-30,2017-08,38,1,Misc,0.1267,,,,,
category,2017Q2,2017-06-30,2017-08,33,2,Production,0.1362,,,,,
category,2017Q2,2017-06-30,2017-08,51,2,Turnover,0.2562,,,,,
category,2017Q2,2017-06-30,2017-08,45,2,Orders,0.1114,,,,,
category,2017Q2,2017-06-30,2017-08,51,2,Surveys,0.2519,,,,,
category,2017Q2,2017-06-30,2017-08,26,2,Trade,0.0575,,,,,
category,2017Q2,2017-06-30,2017-08,50,2,Global,0.0552,,,,,
category,2017Q2,2017-06-30,2017-08,32,2,Misc,0.1315,,,,,
category,2017Q3,2017-09-30,2017-11,42,1,Production,0.4413,,,,,
category,2017Q3,2017-09-30,2017-11,27,1,Turnover,0.2127,,,,,
category,2017Q3,2017-09-30,2017-11,34,1,Orders,0.0443,,,,,
