monthly_origin,quarter,month_in_quarter,n_indicators,fit_tag,nowcast,actual,error
2018-13,2018Q4,2,28,ok,-0.1779,-0.317,0.1391
2018-14,2018Q4,3,40,ok,0.099,-0.317,0.416
2019-03,2019Q1,1,52,ok,-0.3319,-0.187,-0.1449
2019-04,2019Q1,2,57,ok,0.0947,-0.187,0.2817
2019-05,2019Q1,3,40,ok,-0.1267,-0.187,0.0603
2019-06,2019Q2,1,38,ok,-0.0681,-0.036,-0.0321
2019-07,2019Q2,2,24,ok,0.5707,-0.036,0.6067
2019-08,2019Q2,3,53,ok,-0.2943,-0.036,-0.2583
2019-09,2019Q3,1,36,ok,-0.1384,0.619,-0.7574
2019-10,2019Q3,2,36,ok,0.0718,0.619,-0.5472
2019-11,2019Q3,3,35,ok,0.5572,0.619,-0.0618
2019-12,2019Q4,1,50,ok,-0.5431,0.196,-0.7391
2019-13,2019Q4,2,55,ok,-0.1337,0.196,-0.3297
2019-14,2019Q4,3,44,ok,0.1274,0.196,-0.0686
2020-03,2020Q1,1,41,ok,-3.2745,-2.0,-1.2745
2020-04,2020Q1,2,50,ok,-1.3146,-2.0,0.6854
2020-05,2020Q1,3,19,ok,-2.1817,-2.0,-0.1817
2020-06,2020Q2,1,25,ok,-8.4287,-9.5,1.0713
2020-07,2020Q2,2,20,ok,-9.117,-9.5,0.383
2020-08,2020Q2,3,21,ok,-9.1774,-9.5,0.3226
2020-09,2020Q3,1,54,ok,8.4633,8.7,-0.2367
2020-10,2020Q3,2,58,ok,7.5248,8.7,-1.1752
2020-11,2020Q3,3,40,ok,8.9205,8.7,0.2205
2020-12,2020Q4,1,47,ok,0.722,0.6,0.122
2020-13,2020Q4,2,58,ok,1.0082,0.6,0.4082
2020-14,2020Q4,3,52,ok,0.8118,0.6,0.2118
2021-03,2021Q1,1,52,ok,1.6184,0.121,1.4974
2021-04,2021Q1,2,57,ok,-0.3557,0.121,-0.4767
2021-05,2021Q1,3,47,ok,0.1269,0.121,0.0059
2021-06,2021Q2,1,34,ok,0.8906,-0.0,0.8906
2021-07,2021Q2,2,19,ok,-0.517,-0.0,-0.517
2021-08,2021Q2,3,36,ok,-0.1665,-0.0,-0.1665
2021-09,2021Q3,1,59,ok,0.0907,1.044,-0.9533
2021-10,2021Q3,2,21,ok,1.7198,1.044,0.6758
2021-11,2021Q3,3,48,ok,0.7045,1.044,-0.3395
2021-12,2021Q4,1,58,ok,-0.7611,0.196,-0.9571
2021-13,2021Q4,2,31,ok,0.6972,0.196,0.5012
2021-14,2021Q4,3,23,ok,-0.122,0.196,-0.318
2022-03,2022Q1,1,16,ok,-1.5824,-0.052,-1.5304
2022-04,2022Q1,2,21,ok,-0.5313,-0.052,-0.4793
2022-05,2022Q1,3,24,ok,-0.2502,-0.052,-0.1982
2022-06,2022Q2,1,17,ok,1.0167,0.937,0.0797
2022-07,2022Q2,2,54,ok,1.1066,0.937,0.1696
2022-08,2022Q2,3,32,ok,0.859,0.937,-0.078
2022-09,2022Q3,1,28,ok,1.3118,-0.225,1.5368
2022-10,2022Q3,2,26,ok,-0.8592,-0.225,-0.6342
2022-11,2022Q3,3,31,ok,-0.2815,-0.225,-0.0565
2022-12,2022Q4,1,20,ok,0.1767,-0.041,0.2177
2022-13,2022Q4,2,40,ok,-0.11,-0.041,-0.069
2022-14,2022Q4,3,46,ok,0.0829,-0.041,0.1239
2023-03,2023Q1,1,49,ok,0.6361,-0.243,0.8791
2023-04,2023Q1,2,15,ok,-0.2077,-0.243,0.0353
2023-05,2023Q1,3,26,ok,-0.6907,-0.243,-0.4477
2023-06,2023Q2,1,19,ok,0.3443,0.276,0.0683
2023-07,2023Q2,2,37,ok,0.2767,0.276,0.0007
2023-08,2023Q2,3,33,ok,0.0778,0.276,-0.1982
2023-09,2023Q3,1,17,ok,-0.21,0.25,-0.46
2023-10,2023Q3,2,46,ok,-1.1181,0.25,-1.3681
2023-11,2023Q3,3,20,ok,-0.0443,0.25,-0.2943
2023-12,2023Q4,1,18,ok,-0.0597,0.655,-0.7147
2023-13,2023Q4,2,59,ok,0.8261,0.655,0.1711
2023-14,2023Q4,3,42,ok,0.6928,0.655,0.0378
2024-03,2024Q1,1,22,ok,1.4124,0.921,0.4914
2024-04,2024Q1,2,46,ok,0.2393,0.921,-0.6817
2024-05,2024Q1,3,46,ok,1.0834,0.921,0.1624
2024-06,2024Q2,1,30,ok,-0.4475,-0.215,-0.2325
2024-07,2024Q2,2,44,ok,-0.2123,-0.215,0.0027
2024-08,2024Q2,3,36,ok,0.0163,-0.215,0.2313
2024-09,2024Q3,1,15,ok,-0.6545,0.324,-0.9785
2024-10,2024Q3,2,31,ok,-0.1352,0.324,-0.4592
2024-11,2024Q3,3,39,ok,0.7494,0.324,0.4254
2024-12,2024Q4,1,56,ok,1.7696,0.469,1.3006
2024-13,2024Q4,2,39,ok,0.3486,0.469,-0.1204
2024-14,2024Q4,3,56,ok,0.4125,0.469,-0.0565
2025-03,2025Q1,1,39,ok,-0.9872,0.229,-1.2162
2025-04,2025Q1,2,21,ok,-0.006,0.229,-0.235
2025-05,2025Q1,3,58,ok,0.0042,0.229,-0.2248
2025-06,2025Q2,1,47,ok,1.11,0.084,1.026
2025-07,2025Q2,2,47,ok,0.0651,0.084,-0.0189
2025-08,2025Q2,3,40,ok,-0.003,0.084,-0.087
2025-09,2025Q3,1,31,ok,-0.398,-0.305,-0.093
2025-10,2025Q3,2,52,ok,0.271,-0.305,0.576
2025-11,2025Q3,3,25,ok,-0.2345,-0.305,0.0705
2025-12,2025Q4,1,49,ok,-0.1725,0.123,-0.2955
2025-13,2025Q4,2,29,ok,0.0971,0.123,-0.0259
2025-14,2025Q4,3,32,ok,0.5487,0.123,0.4257
