quarter,monthly_origin,month_in_quarter,n_indicators,k_factors,nowcast,actual,error,n_features
2017Q1,2017-03,1,57,2,-0.6895,-0.07,-0.6195,6
2017Q1,2017-04,2,44,2,-0.4316,-0.07,-0.3616,6
2017Q1,2017-05,3,22,2,-0.2698,-0.07,-0.1998,6
2017Q2,2017-06,1,53,2,1.5284,0.767,0.7614,6
2017Q2,2017-07,2,30,2,0.3638,0.767,-0.4032,6
2017Q2,2017-08,3,15,2,0.7818,0.767,0.0148,6
2017Q3,2017-09,1,22,2,-0.7199,0.02,-0.7399,6
2017Q3,2017-10,2,38,2,0.8799,0.02,0.8599,6
2017Q3,2017-11,3,43,2,0.532,0.02,0.512,6
2017Q4,2017-12,1,33,2,-0.6796,-0.362,-0.3176,6
2017Q4,2017-13,2,18,2,-0.2697,-0.362,0.0923,6
2017Q4,2017-14,3,40,2,-0.3342,-0.362,0.0278,6
2018Q1,2018-03,1,17,2,-1.0676,0.016,-1.0836,6
2018Q1,2018-04,2,42,2,0.3137,0.016,0.2977,6
2018Q1,2018-05,3,33,2,0.381,0.016,0.365,6
2018Q2,2018-06,1,23,2,0.1484,0.267,-0.1186,6
2018Q2,2018-07,2,49,2,0.2787,0.267,0.0117,6
2018Q2,2018-08,3,42,2,-0.4135,0.267,-0.6805,6
2018Q3,2018-09,1,56,2,0.1713,0.538,-0.3667,6
2018Q3,2018-10,2,19,2,1.0055,0.538,0.4675,6
2018Q3,2018-11,3,59,2,0.6547,0.538,0.1167,6
2018Q4,2018-12,1,39,2,1.2099,-0.317,1.5269,6
2018Q4,2018-13,2,30,2,-1.3729,-0.317,-1.0559,6
2018Q4,2018-14,3,38,2,0.056,-0.317,0.373,6
2019Q1,2019-03,1,24,2,-0.3787,-0.187,-0.1917,6
2019Q1,2019-04,2,16,2,0.0749,-0.187,0.2619,6
2019Q1,2019-05,3,52,2,-0.195,-0.187,-0.008,6
2019Q2,2019-06,1,27,2,-0.6498,-0.036,-0.6138,6
2019Q2,2019-07,2,41,2,-0.6368,-0.036,-0.6008,6
2019Q2,2019-08,3,33,2,-0.0818,-0.036,-0.0458,6
2019Q3,2019-09,1,46,2,-0.6476,0.619,-1.2666,6
2019Q3,2019-10,2,28,2,0.8879,0.619,0.2689,6
2019Q3,2019-11,3,40,2,0.5314,0.619,-0.0876,6
2019Q4,2019-12,1,30,2,-1.234,0.196,-1.43,6
2019Q4,2019-13,2,33,2,0.4382,0.196,0.2422,6
2019Q4,2019-14,3,43,2,0.3507,0.196,0.1547,6
2020Q1,2020-03,1,21,2,-2.4245,-2.0,-0.4245,6
2020Q1,2020-04,2,51,2,-2.2969,-2.0,-0.2969,6
2020Q1,2020-05,3,20,2,-2.3761,-2.0,-0.3761,6
2020Q2,2020-06,1,50,2,-8.8868,-9.5,0.6132,6
2020Q2,2020-07,2,36,2,-9.0549,-9.5,0.4451,6
2020Q2,2020-08,3,49,2,-9.4543,-9.5,0.0457,6
2020Q3,2020-09,1,45,2,8.2995,8.7,-0.4005,6
2020Q3,2020-10,2,37,2,8.5419,8.7,-0.1581,6
2020Q3,2020-11,3,53,2,8.8554,8.7,0.1554,6
2020Q4,2020-12,1,50,2,-0.428,0.6,-1.028,6
2020Q4,2020-13,2,38,2,0.3524,0.6,-0.2476,6
2020Q4,2020-14,3,50,2,0.7761,0.6,0.1761,6
2021Q1,2021-03,1,21,2,1.04,0.121,0.919,6
2021Q1,2021-04,2,43,2,-0.2598,0.121,-0.3808,6
2021Q1,2021-05,3,36,2,-0.0979,0.121,-0.2189,6
2021Q2,2021-06,1,32,2,-0.0122,-0.0,-0.0122,6
2021Q2,2021-07,2,28,2,-0.2846,-0.0,-0.2846,6
2021Q2,2021-08,3,47,2,-0.4534,-0.0,-0.4534,6
2021Q3,2021-09,1,22,2,1.4215,1.044,0.3775,6
2021Q3,2021-10,2,47,2,1.7435,1.044,0.6995,6
2021Q3,2021-11,3,45,2,1.258,1.044,0.214,6
2021Q4,2021-12,1,38,2,-0.4072,0.196,-0.6032,6
2021Q4,2021-13,2,15,2,-0.1191,0.196,-0.3151,6
2021Q4,2021-14,3,21,2,0.0819,0.196,-0.1141,6
2022Q1,2022-03,1,42,2,0.5492,-0.052,0.6012,6
2022Q1,2022-04,2,30,2,-0.7669,-0.052,-0.7149,6
2022Q1,2022-05,3,18,2,-0.1342,-0.052,-0.0822,6
2022Q2,2022-06,1,45,2,1.4709,0.937,0.5339,6
2022Q2,2022-07,2,35,2,0.4821,0.937,-0.4549,6
2022Q2,2022-08,3,32,2,1.0421,0.937,0.1051,6
2022Q3,2022-09,1,32,2,-1.532,-0.225,-1.307,6
2022Q3,2022-10,2,38,2,-0.026,-0.225,0.199,6
2022Q3,2022-11,3,55,2,-0.2432,-0.225,-0.0182,6
2022Q4,2022-12,1,44,2,0.236,-0.041,0.277,6
2022Q4,2022-13,2,32,2,-0.54,-0.041,-0.499,6
2022Q4,2022-14,3,40,2,-0.1653,-0.041,-0.1243,6
2023Q1,2023-03,1,41,2,0.2301,-0.243,0.4731,6
2023Q1,2023-04,2,50,2,-1.1444,-0.243,-0.9014,6
2023Q1,2023-05,3,24,2,0.0409,-0.243,0.2839,6
2023Q2,2023-06,1,20,2,-0.4732,0.276,-0.7492,6
2023Q2,2023-07,2,22,2,0.2481,0.276,-0.0279,6
2023Q2,2023-08,3,32,2,0.3271,0.276,0.0511,6
2023Q3,2023-09,1,47,2,-0.3509,0.25,-0.6009,6
2023Q3,2023-10,2,44,2,0.6883,0.25,0.4383,6
2023Q3,2023-11,3,20,2,0.1929,0.25,-0.0571,6
2023Q4,2023-12,1,41,2,-0.3973,0.655,-1.0523,6
2023Q4,2023-13,2,18,2,0.9332,0.655,0.2782,6
2023Q4,2023-14,3,47,2,0.3742,0.655,-0.2808,6
2024Q1,2024-03,1,33,2,-0.3295,0.921,-1.2505,6
2024Q1,2024-04,2,58,2,2.0501,0.921,1.1291,6
2024Q1,2024-05,3,29,2,0.7016,0.921,-0.2194,6
2024Q2,2024-06,1,21,2,-1.2686,-0.215,-1.0536,6
2024Q2,2024-07,2,42,2,-0.4166,-0.215,-0.2016,6
2024Q2,2024-08,3,51,2,0.045,-0.215,0.26,6
2024Q3,2024-09,1,36,2,-0.269,0.324,-0.593,6
2024Q3,2024-10,2,18,2,1.8529,0.324,1.5289,6
2024Q3,2024-11,3,37,2,-0.1821,0.324,-0.5061,6
2024Q4,2024-12,1,59,2,0.8518,0.469,0.3828,6
2024Q4,2024-13,2,34,2,0.9062,0.469,0.4372,6
2024Q4,2024-14,3,28,2,0.4,0.469,-0.069,6
2025Q1,2025-03,1,48,2,-0.7989,0.229,-1.0279,6
2025Q1,2025-04,2,30,2,-0.04,0.229,-0.269,6
2025Q1,2025-05,3,38,2,0.1355,0.229,-0.0935,6
2025Q2,2025-06,1,24,2,-1.8311,0.084,-1.9151,6
2025Q2,2025-07,2,47,2,-0.2381,0.084,-0.3221,6
2025Q2,2025-08,3,17,2,0.1829,0.084,0.0989,6
2025Q3,2025-09,1,29,2,0.3476,-0.305,0.6526,6
2025Q3,2025-10,2,45,2,-0.9958,-0.305,-0.6908,6
2025Q3,2025-11,3,15,2,-0.1525,-0.305,0.1525,6
2025Q4,2025-12,1,48,2,0.299,0.123,0.176,6
2025Q4,2025-13,2,20,2,0.5359,0.123,0.4129,6
2025Q4,2025-14,3,18,2,0.3355,0.123,0.2125,6
