monthly_origin,quarter,month_in_quarter,n_indicators,k_factors,nowcast,actual,error,q_ratio,tvp_intercept,ci_lower_90,ci_upper_90,tvp_loading_1,tvp_loading_2
2015-08,2015Q2,3,19,2,0.1341,0.151,-0.0169,0.679,0.0874,-1.097127421363608,1.507978806914985,0.4342,0.4324
2015-09,2015Q3,1,49,2,-0.5781,0.045,-0.6231,0.894,0.1621,-1.4898212609943196,0.39921997332837567,0.8947,0.3123
2015-10,2015Q3,2,59,2,-0.2549,0.045,-0.2999,0.578,0.0018,-1.114707985419519,0.5475761101276638,0.706,0.4138
2015-11,2015Q3,3,50,2,0.1934,0.045,0.1484,1.046,0.2879,-1.246154407010691,1.3270722979476324,0.6009,0.0889
2015-12,2015Q4,1,55,2,0.1549,0.42,-0.2651,0.624,0.1364,-0.99283680661656,1.5728155446761067,0.6011,0.105
2015-13,2015Q4,2,46,2,0.4665,0.42,0.0465,1.412,0.1749,-0.8864141995700018,1.8552969335603628,0.5614,0.2502
2015-14,2015Q4,3,35,2,0.3565,0.42,-0.0635,1.45,0.3018,-1.0930652826986813,1.7911290871845258,0.6033,0.1265
2016-03,2016Q1,1,46,2,0.4243,-0.032,0.4563,1.269,0.3837,-0.7669947632082906,1.3197981508834289,0.6846,0.2456
2016-04,2016Q1,2,47,2,-0.0167,-0.032,0.0153,1.2,0.2617,-1.0860830110475226,1.1863638310446913,0.6975,0.0154
2016-05,2016Q1,3,30,2,0.1946,-0.032,0.2266,1.371,0.2458,-1.00104714082083,1.200861570803947,0.4842,0.3551
2016-06,2016Q2,1,57,2,-1.6889,-0.684,-1.0049,1.224,0.145,-2.876562631131713,-0.850934029967574,0.4936,0.0857
2016-07,2016Q2,2,34,2,-0.1122,-0.684,0.5718,0.899,0.0606,-1.1974360229288308,1.4745836765557427,0.7381,0.2793
2016-08,2016Q2,3,47,2,-0.7112,-0.684,-0.0272,0.524,0.0236,-1.6293121137838285,0.34323553302829035,0.967,0.3218
2016-09,2016Q3,1,25,2,1.3766,0.025,1.3516,1.269,0.3068,0.01295116474959368,2.814020897090022,0.6652,0.1655
2016-10,2016Q3,2,19,2,-0.5746,0.025,-0.5996,0.502,0.3987,-1.6588273409511605,0.6939193072115368,0.5524,0.2809
2016-11,2016Q3,3,29,2,-0.3412,0.025,-0.3662,1.165,0.0772,-1.8645695585083428,0.9245845108751656,0.6239,0.1711
2016-12,2016Q4,1,23,2,2.0194,0.593,1.4264,1.166,0.1519,0.9172547582079089,3.215455550163571,0.6799,0.2723
2016-13,2016Q4,2,58,2,0.0092,0.593,-0.5838,0.765,0.1469,-0.9828879592335392,1.2716679075866422,0.7447,0.4904
2016-14,2016Q4,3,25,2,0.2849,0.593,-0.3081,1.214,0.3073,-1.1420209276215132,1.1117883828117352,0.4981,0.5757
2017-03,2017Q1,1,30,2,0.8987,-0.07,0.9687,1.362,0.0426,-0.5049536428115602,2.202940401060315,0.9731,0.5681
2017-04,2017Q1,2,24,2,-1.1075,-0.07,-1.0375,1.137,0.1101,-2.4668474827856945,0.34146040214890316,0.6635,0.3633
2017-05,2017Q1,3,16,2,0.1521,-0.07,0.2221,1.449,0.2765,-0.7328205476904278,1.4178886769735466,0.7441,0.342
2017-06,2017Q2,1,28,2,0.9189,0.767,0.1519,1.422,0.1961,-0.33276671179188777,2.0368466893313943,0.5611,0.3242
2017-07,2017Q2,2,15,2,0.6729,0.767,-0.0941,1.449,0.2802,-0.3160647349252387,1.7229808955933812,0.478,0.5092
2017-08,2017Q2,3,24,2,0.7873,0.767,0.0203,0.933,0.3427,-0.5574348760057687,2.2921351730709567,0.5717,0.1453
2017-09,2017Q3,1,49,2,0.6432,0.02,0.6232,0.675,0.0919,-0.1959404719125991,1.655183942848538,0.5913,0.187
2017-10,2017Q3,2,40,2,0.2877,0.02,0.2677,0.537,0.218,-0.5712304714088989,1.2464042079843127,0.4282,0.2876
2017-11,2017Q3,3,54,2,0.1267,0.02,0.1067,1.269,0.2906,-0.9951066367689163,1.5005974749748205,0.8834,0.2909
2017-12,2017Q4,1,42,2,-1.6298,-0.362,-1.2678,1.35,0.0629,-2.9356108258100777,-0.2921164248720798,0.6049,0.5819
2017-13,2017Q4,2,44,2,-0.6456,-0.362,-0.2836,1.335,-0.0454,-2.0720418005238708,0.5545261036903519,0.5504,0.5248
2017-14,2017Q4,3,30,2,-0.2863,-0.362,0.0757,0.981,0.1943,-1.1315051111260919,0.8432055839058759,0.4072,0.1026
2018-03,2018Q1,1,28,2,0.1607,0.016,0.1447,0.832,0.0867,-0.8391922128380951,1.0892856758325855,0.7257,0.1423
2018-04,2018Q1,2,15,2,-0.4537,0.016,-0.4697,1.361,0.102,-1.46346668105618,1.0040043684525037,0.5145,0.1226
2018-05,2018Q1,3,44,2,0.2454,0.016,0.2294,0.728,0.022,-0.8163257156466661,1.6205957364704617,0.2793,0.2437
2018-06,2018Q2,1,40,2,0.4544,0.267,0.1874,0.584,0.1027,-0.5989851010027943,1.869937058270776,0.4556,0.3195
2018-07,2018Q2,2,47,2,0.0817,0.267,-0.1853,0.886,0.2741,-1.3513376273674962,1.4379004670375686,0.6107,0.3279
2018-08,2018Q2,3,46,2,0.3343,0.267,0.0673,0.523,0.2991,-0.6884219970025423,1.530295174029745,0.6225,0.2215
2018-09,2018Q3,1,29,2,-0.1515,0.538,-0.6895,1.477,0.085,-1.5747692818305847,0.6872086325219053,0.4622,0.2765
2018-10,2018Q3,2,33,2,0.6429,0.538,0.1049,0.639,0.3529,-0.6426722635562767,1.918005553185115,0.7638,0.2769
2018-11,2018Q3,3,30,2,0.5554,0.538,0.0174,1.405,0.1084,-0.8851360698578651,1.9703600821920726,0.4503,0.1168
2018-12,2018Q4,1,22,2,0.1223,-0.317,0.4393,1.208,0.311,-1.0655466271284861,1.374874714524628,0.4572,0.2273
2018-13,2018Q4,2,28,2,0.0841,-0.317,0.4011,1.372,0.3584,-1.231872415340539,1.0876260689063109,0.7543,0.4417
2018-14,2018Q4,3,35,2,-0.0576,-0.317,0.2594,0.511,0.3791,-0.8625642262226276,0.8217798650346105,0.5157,0.2555
2019-03,2019Q1,1,50,2,-1.0332,-0.187,-0.8462,1.495,0.191,-1.9529533797232697,0.09843954393669407,0.5281,0.3026
2019-04,2019Q1,2,25,2,0.5562,-0.187,0.7432,0.737,0.3988,-0.6553250635535532,2.1149101807050106,0.7301,0.1807
2019-05,2019Q1,3,52,2,0.0155,-0.187,0.2025,0.883,0.2067,-0.8260843412557299,1.1566331649005699,0.8569,-0.0163
2019-06,2019Q2,1,27,2,-1.1524,-0.036,-1.1164,1.296,0.194,-2.3302009800063446,-0.1825026089160815,0.414,0.2519
2019-07,2019Q2,2,23,2,-0.1408,-0.036,-0.1048,1.277,0.2517,-1.5729610958245746,1.3184963194516794,0.592,0.5322
2019-08,2019Q2,3,37,2,0.3863,-0.036,0.4223,1.462,0.3563,-1.1612698124091896,1.3032505531490364,0.4367,0.4438
2019-09,2019Q3,1,25,2,1.11,0.619,0.491,1.007,0.2221,-0.25777298674671734,2.589814428984562,0.6111,0.4952
2019-10,2019Q3,2,23,2,1.2566,0.619,0.6376,1.151,0.3701,0.3687962104552781,2.6703547936331002,0.6777,0.0744
2019-11,2019Q3,3,47,2,0.5369,0.619,-0.0821,1.002,0.1704,-0.5425456523877622,1.808365298213876,0.332,0.4101
2019-12,2019Q4,1,43,2,-0.1939,0.196,-0.3899,1.348,0.1233,-1.075173563849611,1.3370531665537884,0.6705,0.3499
2019-13,2019Q4,2,47,2,-0.3439,0.196,-0.5399,1.032,0.181,-1.5804964929425291,0.8175082572791402,0.4778,0.1645
2019-14,2019Q4,3,18,2,0.2445,0.196,0.0485,1.015,0.0651,-0.576378723504692,1.3920423148908658,0.591,0.2302
2020-03,2020Q1,1,15,2,-2.6911,-2.0,-0.6911,0.792,0.2827,-3.872035023585232,-1.308187763008791,0.5738,0.3156
2020-04,2020Q1,2,21,2,-1.6269,-2.0,0.3731,0.783,0.2562,-2.871024773739152,-0.04621466879792813,0.7135,0.2492
2020-05,2020Q1,3,18,2,-1.8746,-2.0,0.1254,1.147,0.2778,-3.3500727046158723,-0.90806143242593,0.6226,0.3052
2020-06,2020Q2,1,19,2,-11.1565,-9.5,-1.6565,0.879,0.1106,-11.996624612110743,-10.071929644293665,0.5239,0.29
2020-07,2020Q2,2,27,2,-9.0437,-9.5,0.4563,1.0,0.2998,-9.896701951361583,-7.7348191371788495,0.423,0.5045
2020-08,2020Q2,3,40,2,-9.3269,-9.5,0.1731,1.388,0.266,-10.708233875886247,-7.999013469550073,0.7525,0.1605
2020-09,2020Q3,1,18,2,8.6041,8.7,-0.0959,0.988,0.2318,7.614472691726655,9.441828435267626,0.6537,0.2371
2020-10,2020Q3,2,30,2,8.5391,8.7,-0.1609,0.594,-0.0558,7.494706247666003,9.958700917241472,0.304,0.4513
2020-11,2020Q3,3,17,2,8.5166,8.7,-0.1834,0.688,0.3588,7.217797140333613,9.552098368128524,0.4158,0.4427
2020-12,2020Q4,1,40,2,0.2985,0.6,-0.3015,1.261,0.3469,-1.223979246841174,1.3330417809709485,0.6341,0.4434
2020-13,2020Q4,2,58,2,0.9384,0.6,0.3384,1.191,0.2335,0.13732413736497828,2.451114840379733,0.739,0.176
2020-14,2020Q4,3,25,2,0.6375,0.6,0.0375,0.968,0.1366,-0.2765804591000375,1.495726390438613,0.5104,0.4717
2021-03,2021Q1,1,33,2,0.5607,0.121,0.4397,0.828,0.3753,-0.2982567560609073,2.019903007396233,0.5693,0.422
2021-04,2021Q1,2,53,2,0.2007,0.121,0.0797,0.924,0.2874,-1.2737777558408068,1.1217368614694727,0.5499,0.3436
2021-05,2021Q1,3,21,2,0.0012,0.121,-0.1198,1.31,0.1408,-1.399580692983583,1.1361066211976791,0.6183,0.519
2021-06,2021Q2,1,49,2,-0.8251,-0.0,-0.8251,0.685,0.223,-1.9300713767423399,0.4549289015303837,0.821,0.2541
2021-07,2021Q2,2,55,2,0.2712,-0.0,0.2712,0.863,0.1928,-1.1468211882387056,1.1948181051339248,0.6303,0.5195
2021-08,2021Q2,3,32,2,0.3739,-0.0,0.3739,0.875,0.2286,-1.1381560864977223,1.315599921433177,0.7667,0.3484
2021-09,2021Q3,1,22,2,0.2934,1.044,-0.7506,0.514,0.1544,-1.0034072422602578,1.472595366784324,0.5117,0.4698
2021-10,2021Q3,2,49,2,0.9817,1.044,-0.0623,0.861,0.1263,-0.42265575370184916,2.2311645572967924,0.583,0.3083
2021-11,2021Q3,3,50,2,1.3535,1.044,0.3095,1.008,0.0916,-0.03188666158159803,2.379875559615141,0.4765,0.1064
2021-12,2021Q4,1,37,2,-1.3166,0.196,-1.5126,0.903,0.1657,-2.387478789679683,-0.198053323708683,0.6154,0.2551
2021-13,2021Q4,2,56,2,-0.202,0.196,-0.398,0.721,0.1929,-1.7819753202283404,0.6828755321468638,0.6028,0.146
2021-14,2021Q4,3,16,2,0.0825,0.196,-0.1135,1.342,0.2411,-1.3143184437871847,1.1527691951260344,0.9584,0.1855
2022-03,2022Q1,1,31,2,-0.0272,-0.052,0.0248,1.038,0.2898,-0.8805832745429528,0.826450292056842,0.5532,0.3662
2022-04,2022Q1,2,36,2,-0.3897,-0.052,-0.3377,0.657,0.2734,-1.201256748737181,0.7169314831408344,0.2649,0.4855
2022-05,2022Q1,3,41,2,-0.2524,-0.052,-0.2004,1.0,0.1916,-1.6161567060163373,0.9891981046359954,0.8137,0.3489
2022-06,2022Q2,1,58,2,2.3268,0.937,1.3898,0.545,0.0945,1.0465394032003958,3.512351713037395,0.5969,0.105
2022-07,2022Q2,2,51,2,0.9611,0.937,0.0241,0.656,0.1445,0.0796076023942146,2.507208394282582,0.4294,0.1234
2022-08,2022Q2,3,50,2,1.0517,0.937,0.1147,1.098,0.1185,0.16896292878498598,1.8580954707080628,0.7831,0.2776
2022-09,2022Q3,1,53,2,-0.889,-0.225,-0.664,1.297,0.1055,-2.450578631057927,0.06233392407794658,0.6561,0.1881
2022-10,2022Q3,2,21,2,0.3285,-0.225,0.5535,1.272,0.2257,-0.6182774986130654,1.5586251466004468,0.471,0.4487
2022-11,2022Q3,3,56,2,0.0639,-0.225,0.2889,0.519,0.2547,-1.2779164570934298,1.2742291866258317,0.6739,0.3516
2022-12,2022Q4,1,22,2,0.4343,-0.041,0.4753,0.617,0.123,-0.8179038170484852,1.3452212390058271,0.5708,0.4824
2022-13,2022Q4,2,21,2,0.8359,-0.041,0.8769,1.478,0.4027,0.027294861892314004,1.662686994851513,0.796,0.5413
2022-14,2022Q4,3,19,2,-0.2033,-0.041,-0.1623,0.941,0.1519,-1.4249885523293355,0.7785638969388993,0.6406,0.1965
2023-03,2023Q1,1,30,2,-0.4146,-0.243,-0.1716,0.585,0.1079,-1.2193099793698152,0.6402898843941722,0.3435,0.4453
2023-04,2023Q1,2,32,2,1.1873,-0.243,1.4303,1.01,0.1376,-0.06972268354346811,2.3653713904178866,0.8,0.2144
2023-05,2023Q1,3,31,2,-0.011,-0.243,0.232,0.564,0.0372,-1.4950176668259665,1.1068700515813286,0.4926,0.0185
2023-06,2023Q2,1,49,2,0.2226,0.276,-0.0534,1.344,0.1292,-0.7877679144679038,1.0448352536215517,0.7099,0.0813
2023-07,2023Q2,2,23,2,-0.2304,0.276,-0.5064,0.815,0.2489,-1.192410707585276,0.7207028872309715,0.3653,0.4201
2023-08,2023Q2,3,18,2,-0.0929,0.276,-0.3689,0.65,0.1464,-1.0877473286077985,1.0687987880578658,0.5907,0.4301
2023-09,2023Q3,1,23,2,0.976,0.25,0.726,0.522,0.1939,-0.41425777338001946,2.2988924669730335,0.798,0.2592
2023-10,2023Q3,2,40,2,1.5039,0.25,1.2539,0.574,0.2914,0.3633867172446612,2.9419001138383543,0.5338,0.5364
2023-11,2023Q3,3,22,2,0.2162,0.25,-0.0338,0.687,0.2677,-0.7830624784408984,1.0468858369429814,0.5224,0.3572
2023-12,2023Q4,1,36,2,1.9442,0.655,1.2892,1.471,0.0779,0.46158368349953793,2.9635243088321284,0.6482,0.3232
2023-13,2023Q4,2,20,2,0.4009,0.655,-0.2541,1.378,0.2391,-0.5990021719495178,1.8339851038677302,1.0189,0.3028
2023-14,2023Q4,3,15,2,0.375,0.655,-0.28,0.842,0.0929,-0.5874107944508068,1.817436516884706,0.8091,0.3875
2024-03,2024Q1,1,47,2,-0.0422,0.921,-0.9632,1.306,0.2607,-1.1254580360165725,1.244267629543219,0.7741,0.3828
2024-04,2024Q1,2,46,2,1.2376,0.921,0.3166,1.482,0.0758,-0.18868572863702293,2.724049774578159,0.7837,0.1962
2024-05,2024Q1,3,50,2,1.008,0.921,0.087,0.512,0.0348,-0.22131623545582002,2.0879071578009265,0.5448,0.2367
2024-06,2024Q2,1,28,2,-0.0356,-0.215,0.1794,1.097,0.3768,-0.8590009600717226,1.2784647766643125,0.7329,0.0765
2024-07,2024Q2,2,17,2,0.0513,-0.215,0.2663,0.85,0.146,-1.0054042559304208,1.6198714835439225,0.4661,0.6616
2024-08,2024Q2,3,19,2,0.1457,-0.215,0.3607,1.146,0.2449,-1.1454990390353585,1.1433543305958331,0.5406,0.1739
2024-09,2024Q3,1,17,2,1.1797,0.324,0.8557,1.421,0.316,0.09538198785253948,2.1869132827076196,0.6534,0.353
2024-10,2024Q3,2,18,2,-0.1413,0.324,-0.4653,1.492,0.3265,-0.9896127754996993,0.8638121328078352,0.608,0.3207
2024-11,2024Q3,3,37,2,0.402,0.324,0.078,0.71,0.178,-1.1221410403038843,1.7745018318527714,0.5476,0.4087
2024-12,2024Q4,1,28,2,-0.7559,0.469,-1.2249,1.159,0.1453,-1.7166200078084397,0.19978522359934658,0.4046,0.3487
2024-13,2024Q4,2,36,2,1.2705,0.469,0.8015,1.29,0.0543,0.3378805209485536,2.79263402891919,0.7085,0.4989
2024-14,2024Q4,3,40,2,0.4837,0.469,0.0147,0.84,0.2182,-0.5047171151686134,1.695817386498882,0.4611,0.4016
2025-03,2025Q1,1,20,2,-1.3404,0.229,-1.5694,0.768,0.1524,-2.1623580766651447,0.2437587926957403,0.5573,0.4086
2025-04,2025Q1,2,22,2,-0.2502,0.229,-0.4792,1.262,0.3705,-1.304307201027106,0.8377368901819526,0.8813,0.2998
2025-05,2025Q1,3,22,2,0.1412,0.229,-0.0878,1.468,0.2548,-1.4537746571673342,1.547750379671108,0.613,0.2978
2025-06,2025Q2,1,37,2,0.603,0.084,0.519,1.472,0.2546,-0.2515329869121308,2.1450593987960405,0.8772,0.1591
2025-07,2025Q2,2,39,2,0.5869,0.084,0.5029,0.897,0.2117,-0.8368764705280696,1.42474744640117,0.8707,0.3097
2025-08,2025Q2,3,18,2,0.0745,0.084,-0.0095,1.475,0.1413,-0.9580959122602792,1.1587656651998939,0.2578,0.3919
2025-09,2025Q3,1,39,2,0.5651,-0.305,0.8701,1.122,0.32,-0.2417037913068657,1.7971729119179103,0.4375,0.4238
2025-10,2025Q3,2,23,2,-0.9085,-0.305,-0.6035,1.291,0.2633,-2.258887839736347,0.685748079533164,0.4746,0.2692
2025-11,2025Q3,3,31,2,-0.5074,-0.305,-0.2024,0.912,0.1083,-2.083464730831452,0.3744198027368043,0.665,0.2559
2025-12,2025Q4,1,46,2,-0.5845,0.123,-0.7075,0.751,0.2152,-1.6151935279236838,0.7072066393045628,0.5365,0.413
2025-13,2025Q4,2,43,2,0.0886,0.123,-0.0344,1.02,0.2416,-1.321714712435642,1.1447264538196364,0.8372,0.2232
2025-14,2025Q4,3,38,2,-0.0963,0.123,-0.2193,0.934,0.1277,-1.313518395857614,1.263887764992521,0.5635,0.2085
