monthly_origin,quarter,month_in_quarter,n_indicators,k_factors,nowcast,actual,error
2025-05,2025Q1,3,22,2,0.1512,0.229,-0.0778
2025-06,2025Q2,1,53,2,0.1556,0.084,0.0716
2025-07,2025Q2,2,46,2,1.3981,0.084,1.3141
2025-08,2025Q2,3,17,2,0.2367,0.084,0.1527
2025-09,2025Q3,1,16,2,-0.7966,-0.305,-0.4916
2025-10,2025Q3,2,55,2,0.221,-0.305,0.526
2025-11,2025Q3,3,25,2,-0.2461,-0.305,0.0589
2025-12,2025Q4,1,58,2,-0.0157,0.123,-0.1387
2025-13,2025Q4,2,49,2,-0.2259,0.123,-0.3489
2025-14,2025Q4,3,25,2,0.3248,0.123,0.2018
